ntrl,morph,pos,ecc,rt,response
1,17,5,7,0.63335,LeftArrow
2,67,4,7,0.5334,RightArrow
3,33,2,7,0.61669,LeftArrow
4,83,2,7,0.60002,RightArrow
5,0,0,7,0.65007,LeftArrow
6,83,6,7,0.61673,RightArrow
7,0,0,7,0.80003,LeftArrow
8,100,5,7,0.61668,RightArrow
9,50,0,7,0.65004,LeftArrow
10,100,2,7,1.2,RightArrow
11,67,7,7,0.70003,RightArrow
12,33,0,7,0.61666,RightArrow
13,50,5,7,0.83336,RightArrow
14,100,7,7,0.98352,LeftArrow
15,50,2,7,0.78341,RightArrow
16,17,6,7,1.0334,LeftArrow
17,50,6,7,1.1833,LeftArrow
18,17,3,7,0.65002,RightArrow
19,0,5,7,0.83335,RightArrow
20,67,6,7,0.86665,RightArrow
21,17,2,7,1.0334,LeftArrow
22,0,5,7,0.73338,RightArrow
23,17,4,7,1.2333,RightArrow
24,0,6,7,0.78334,RightArrow
25,50,7,7,0.9167,RightArrow
26,50,3,7,1.8667,LeftArrow
27,83,5,7,1.3166,LeftArrow
28,33,5,7,0.90003,LeftArrow
29,67,2,7,0.80003,LeftArrow
30,0,3,7,0.93359,RightArrow
31,0,4,7,0.76674,LeftArrow
32,83,0,7,0.71664,RightArrow
33,67,3,7,0.7167,RightArrow
34,17,2,7,1.7333,LeftArrow
35,0,2,7,0.70006,LeftArrow
36,67,0,7,0.48342,RightArrow
37,67,6,7,0.58336,RightArrow
38,0,2,7,2.1835,LeftArrow
39,33,3,7,0.60004,RightArrow
40,17,6,7,0.71669,LeftArrow
41,100,3,7,0.48338,RightArrow
42,0,7,7,0.65002,LeftArrow
43,50,4,7,0.61674,RightArrow
44,17,3,7,0.53336,RightArrow
45,100,5,7,0.86663,RightArrow
46,17,5,7,0.86666,RightArrow
47,17,1,7,0.65006,RightArrow
48,83,1,7,0.93335,RightArrow
49,17,4,7,0.53335,LeftArrow
50,100,0,7,0.56685,RightArrow
51,67,1,7,1.0333,RightArrow
52,17,7,7,0.69998,LeftArrow
53,33,2,7,0.6667,RightArrow
54,33,6,7,0.65003,RightArrow
55,83,7,7,0.76664,LeftArrow
56,50,1,7,0.76678,RightArrow
57,33,4,7,0.90009,RightArrow
58,50,3,7,1.1,RightArrow
59,50,7,7,1.4503,RightArrow
60,100,4,7,0.66666,RightArrow
61,67,5,7,0.66673,RightArrow
62,33,1,7,0.73333,LeftArrow
63,0,1,7,0.69998,LeftArrow
64,100,7,7,0.70001,RightArrow
65,33,7,7,0.90005,LeftArrow
66,33,3,7,1.3,LeftArrow
67,83,6,7,1.0833,RightArrow
68,33,7,7,0.64996,RightArrow
69,100,6,7,0.61673,RightArrow
70,100,0,7,0.51671,RightArrow
71,0,3,7,0.63337,LeftArrow
72,67,5,7,0.45003,RightArrow
73,33,1,7,0.65001,LeftArrow
74,67,4,7,0.50007,RightArrow
75,33,0,7,0.63338,LeftArrow
76,50,2,7,0.60005,RightArrow
77,50,1,7,0.58341,RightArrow
78,100,3,7,0.46667,RightArrow
79,83,3,7,0.45,RightArrow
80,67,0,7,0.45001,RightArrow
81,100,1,7,0.50002,RightArrow
82,67,2,7,0.51667,RightArrow
83,17,7,7,0.78335,LeftArrow
84,83,3,7,0.50006,RightArrow
85,100,2,7,0.75,RightArrow
86,83,4,7,0.46669,RightArrow
87,100,6,7,0.6667,RightArrow
88,100,4,7,0.54996,RightArrow
89,17,1,7,0.50001,LeftArrow
90,67,1,7,0.53333,LeftArrow
91,50,0,7,0.53334,RightArrow
92,33,5,7,0.6,RightArrow
93,33,6,7,1.0833,LeftArrow
94,33,4,7,1.3834,LeftArrow
95,83,7,7,0.68337,RightArrow
96,17,0,7,0.68342,LeftArrow
97,50,4,7,0.8,RightArrow
98,83,4,7,0.75006,LeftArrow
99,50,6,7,0.76663,RightArrow
100,83,1,7,0.61667,RightArrow
101,83,0,7,0.6333,RightArrow
102,83,2,7,0.9,RightArrow
103,17,0,7,0.51671,RightArrow
104,0,7,7,2.0334,RightArrow
105,67,7,7,0.56677,RightArrow
106,0,6,7,1.1167,RightArrow
107,67,3,7,1.2501,RightArrow
108,0,4,7,0.93337,LeftArrow
109,50,5,7,1.0334,LeftArrow
110,83,5,7,1.7,RightArrow
111,0,1,7,0.8833,LeftArrow
112,100,1,7,1.4334,RightArrow
