ntrl,morph,pos,ecc,rt,response
1,0,4,7,0.60004,LeftArrow
2,0,2,7,0.63341,LeftArrow
3,0,6,7,0.78334,LeftArrow
4,50,2,7,0.78335,RightArrow
5,33,5,7,1.2501,LeftArrow
6,83,7,7,0.65001,RightArrow
7,33,2,7,0.80001,LeftArrow
8,0,0,7,0.90004,LeftArrow
9,33,1,7,1.1,LeftArrow
10,83,6,7,1,LeftArrow
11,0,0,7,0.8834,LeftArrow
12,17,5,7,0.73341,LeftArrow
13,0,2,7,0.71668,LeftArrow
14,67,4,7,1.3667,LeftArrow
15,100,3,7,0.66672,LeftArrow
16,17,1,7,1.0167,LeftArrow
17,83,4,7,0.68342,RightArrow
18,0,6,7,0.71672,LeftArrow
19,0,4,7,0.88334,LeftArrow
20,33,4,7,0.78336,LeftArrow
21,33,4,7,0.69997,LeftArrow
22,17,0,7,0.80001,LeftArrow
23,100,2,7,0.7,RightArrow
24,100,4,7,0.58339,RightArrow
25,0,5,7,0.65009,LeftArrow
26,50,7,7,0.6667,RightArrow
27,0,3,7,2.3334,LeftArrow
28,17,5,7,0.91671,LeftArrow
29,67,1,7,0.81672,RightArrow
30,67,0,7,0.48336,RightArrow
31,100,6,7,0.98341,RightArrow
32,100,0,7,0.5167,RightArrow
33,83,5,7,0.89998,RightArrow
34,33,1,7,0.69998,LeftArrow
35,0,7,7,1.15,LeftArrow
36,17,4,7,0.84998,LeftArrow
37,100,1,7,0.8667,RightArrow
38,67,6,7,1.4334,RightArrow
39,67,6,7,0.75003,RightArrow
40,100,5,7,0.63337,RightArrow
41,83,3,7,1.0834,RightArrow
42,100,3,7,1.0333,RightArrow
43,83,3,7,0.56665,RightArrow
44,50,7,7,0.95003,RightArrow
45,67,2,7,0.91669,LeftArrow
46,17,7,7,0.66671,LeftArrow
47,83,2,7,0.63328,RightArrow
48,0,1,7,0.71671,LeftArrow
49,67,7,7,0.66674,LeftArrow
50,67,5,7,0.56671,RightArrow
51,83,1,7,0.56673,RightArrow
52,100,6,7,0.78338,RightArrow
53,67,3,7,0.68336,RightArrow
54,100,2,7,0.76666,RightArrow
55,83,7,7,0.81667,RightArrow
56,33,7,7,1.1001,RightArrow
57,33,3,7,1.0667,LeftArrow
58,33,7,7,0.86671,LeftArrow
59,83,5,7,1.1334,RightArrow
60,67,5,7,0.63338,RightArrow
61,50,2,7,1.2833,LeftArrow
62,17,6,7,0.7334,LeftArrow
63,100,4,7,0.63339,LeftArrow
64,17,3,7,0.75006,LeftArrow
65,17,6,7,1.3,LeftArrow
66,33,3,7,1.4167,LeftArrow
67,0,3,7,0.51671,LeftArrow
68,33,0,7,0.70006,RightArrow
69,100,0,7,0.55005,RightArrow
70,50,4,7,1.2667,LeftArrow
71,100,7,7,0.63339,RightArrow
72,50,6,7,1.65,RightArrow
73,50,5,7,0.65001,RightArrow
74,0,5,7,0.66667,RightArrow
75,67,1,7,0.86666,RightArrow
76,17,7,7,0.61671,LeftArrow
77,33,6,7,0.71672,RightArrow
78,83,2,7,0.85006,RightArrow
79,17,2,7,1.1666,LeftArrow
80,67,7,7,0.78338,RightArrow
81,50,5,7,0.81668,LeftArrow
82,50,1,7,0.76664,RightArrow
83,33,2,7,1.4001,LeftArrow
84,50,3,7,0.86667,LeftArrow
85,50,6,7,0.93333,LeftArrow
86,50,4,7,0.93338,LeftArrow
87,100,5,7,0.66672,RightArrow
88,100,1,7,0.66668,RightArrow
89,50,1,7,1,RightArrow
90,33,0,7,0.68341,LeftArrow
91,0,7,7,1.0834,LeftArrow
92,67,0,7,0.68339,RightArrow
93,100,7,7,0.50011,RightArrow
94,83,0,7,0.61671,RightArrow
95,50,3,7,2.0333,RightArrow
96,17,0,7,0.60021,LeftArrow
97,83,4,7,0.75003,RightArrow
98,67,4,7,0.86668,RightArrow
99,67,2,7,1.55,RightArrow
100,67,3,7,0.65007,RightArrow
101,17,3,7,0.51666,RightArrow
102,83,6,7,0.65,RightArrow
103,0,1,7,0.58332,LeftArrow
104,83,1,7,0.6667,RightArrow
105,83,0,7,0.70006,RightArrow
106,17,1,7,0.80003,LeftArrow
107,33,5,7,0.70002,RightArrow
108,17,4,7,0.66673,LeftArrow
109,50,0,7,1.0334,RightArrow
110,33,6,7,0.60006,LeftArrow
111,50,0,7,0.75004,RightArrow
112,17,2,7,0.60003,LeftArrow
