ntrl,morph,pos,ecc,rt,response
1,67,6,7,0.91669,LeftArrow
2,100,4,7,0.68339,RightArrow
3,17,1,7,1.1667,LeftArrow
4,0,0,7,0.96673,LeftArrow
5,0,7,7,0.81676,LeftArrow
6,17,7,7,0.60005,LeftArrow
7,17,3,7,1.2,LeftArrow
8,83,0,7,0.56673,RightArrow
9,67,5,7,0.80004,RightArrow
10,50,7,7,1.0334,LeftArrow
11,50,6,7,1.8834,RightArrow
12,17,2,7,0.76671,RightArrow
13,67,1,7,0.86674,LeftArrow
14,17,1,7,0.80005,LeftArrow
15,50,0,7,1.1334,RightArrow
16,50,2,7,0.58337,RightArrow
17,83,2,7,0.6334,RightArrow
18,83,4,7,0.58341,LeftArrow
19,67,5,7,0.83338,RightArrow
20,33,2,7,1.7834,LeftArrow
21,83,3,7,1.3833,LeftArrow
22,83,0,7,0.71693,RightArrow
23,17,0,7,0.69998,RightArrow
24,50,6,7,2.2833,LeftArrow
25,100,5,7,0.78333,RightArrow
26,0,1,7,0.89997,LeftArrow
27,67,1,7,1.0334,LeftArrow
28,0,0,7,0.98338,LeftArrow
29,0,4,7,0.83336,LeftArrow
30,33,6,7,1.0334,RightArrow
31,83,7,7,0.81671,RightArrow
32,17,4,7,0.78338,LeftArrow
33,83,1,7,0.86675,RightArrow
34,33,2,7,1.1833,RightArrow
35,33,7,7,1.2334,RightArrow
36,100,5,7,1.7833,RightArrow
37,67,0,7,0.66671,RightArrow
38,33,7,7,0.90004,LeftArrow
39,100,6,7,0.7666,LeftArrow
40,50,0,7,0.83339,RightArrow
41,67,0,7,0.96666,RightArrow
42,33,0,7,0.73334,LeftArrow
43,100,0,7,0.68351,RightArrow
44,50,4,7,1.9001,RightArrow
45,100,7,7,1.1167,LeftArrow
46,33,3,7,1.0333,LeftArrow
47,0,4,7,0.85002,LeftArrow
48,100,1,7,0.59992,RightArrow
49,50,4,7,0.71671,LeftArrow
50,67,7,7,0.61674,RightArrow
51,50,1,7,1.4668,RightArrow
52,100,4,7,0.78331,RightArrow
53,100,3,7,1.0168,RightArrow
54,17,6,7,0.7167,RightArrow
55,0,5,7,0.90005,LeftArrow
56,83,6,7,1.25,RightArrow
57,50,5,7,0.73333,RightArrow
58,100,3,7,0.60009,RightArrow
59,100,6,7,1.2166,LeftArrow
60,50,5,7,0.96668,LeftArrow
61,17,2,7,0.81686,RightArrow
62,67,7,7,1.3501,RightArrow
63,17,5,7,0.75005,LeftArrow
64,17,0,7,0.81668,LeftArrow
65,67,4,7,0.63339,RightArrow
66,67,6,7,1.65,RightArrow
67,0,5,7,1.0167,LeftArrow
68,100,1,7,0.86672,RightArrow
69,100,7,7,0.73332,RightArrow
70,33,5,7,0.78332,LeftArrow
71,83,3,7,1.9333,RightArrow
72,17,3,7,1.1167,LeftArrow
73,17,4,7,0.73336,LeftArrow
74,100,2,7,1.4167,RightArrow
75,0,2,7,1.1667,RightArrow
76,50,3,7,0.66667,LeftArrow
77,33,1,7,0.63337,RightArrow
78,67,3,7,1.1001,RightArrow
79,67,3,7,0.69996,RightArrow
80,50,1,7,0.76671,RightArrow
81,67,2,7,1.3667,RightArrow
82,0,3,7,1.9667,LeftArrow
83,33,1,7,1.3667,LeftArrow
84,83,4,7,0.60001,RightArrow
85,17,7,7,1.3668,RightArrow
86,83,6,7,2.3167,RightArrow
87,0,2,7,1.9333,LeftArrow
88,100,2,7,1.15,RightArrow
89,33,6,7,0.85005,RightArrow
90,0,3,7,0.83334,LeftArrow
91,33,5,7,0.95006,LeftArrow
92,0,6,7,0.76673,LeftArrow
93,17,5,7,0.73338,LeftArrow
94,67,4,7,0.50004,RightArrow
95,50,2,7,2.0667,LeftArrow
96,83,7,7,0.7167,RightArrow
97,0,6,7,0.88336,LeftArrow
98,83,5,7,0.74994,RightArrow
99,83,5,7,1.2,RightArrow
100,67,2,7,1.75,LeftArrow
101,50,7,7,1.2167,RightArrow
102,50,3,7,0.86668,LeftArrow
103,33,0,7,1.5334,LeftArrow
104,0,7,7,1.6835,RightArrow
105,17,6,7,1.5167,RightArrow
106,0,1,7,3.0167,LeftArrow
107,83,1,7,0.61664,RightArrow
108,100,0,7,1.6334,RightArrow
109,33,3,7,0.68336,LeftArrow
110,83,2,7,1.0501,RightArrow
111,33,4,7,0.80006,LeftArrow
112,33,4,7,0.73336,LeftArrow
