ntrl,morph,pos,ecc,rt,response
1,67,6,7,1.2501,RightArrow
2,100,4,7,0.85001,RightArrow
3,17,1,7,0.96664,LeftArrow
4,0,0,7,0.93332,LeftArrow
5,0,7,7,0.8167,LeftArrow
6,17,7,7,0.8,LeftArrow
7,17,3,7,0.95009,LeftArrow
8,83,0,7,0.81671,LeftArrow
9,67,5,7,0.65014,RightArrow
10,50,7,7,0.80014,RightArrow
11,50,6,7,0.73333,LeftArrow
12,17,2,7,0.96668,LeftArrow
13,67,1,7,0.88335,RightArrow
14,17,1,7,0.86668,LeftArrow
15,50,0,7,0.98331,LeftArrow
16,50,2,7,0.86669,LeftArrow
17,83,2,7,0.74999,LeftArrow
18,83,4,7,0.81668,RightArrow
19,67,5,7,0.96666,RightArrow
20,33,2,7,0.7667,LeftArrow
21,83,3,7,1.2,LeftArrow
22,83,0,7,0.78338,RightArrow
23,17,0,7,1.1667,LeftArrow
24,50,6,7,1.3833,LeftArrow
25,100,5,7,0.83338,RightArrow
26,0,1,7,0.86665,LeftArrow
27,67,1,7,0.81664,RightArrow
28,0,0,7,0.91662,LeftArrow
29,0,4,7,1.2334,LeftArrow
30,33,6,7,0.83332,LeftArrow
31,83,7,7,0.8,RightArrow
32,17,4,7,0.73335,LeftArrow
33,83,1,7,0.66666,RightArrow
34,33,2,7,0.86665,LeftArrow
35,33,7,7,0.95005,LeftArrow
36,100,5,7,0.70006,RightArrow
37,67,0,7,0.81664,RightArrow
38,33,7,7,0.75001,LeftArrow
39,100,6,7,1.1501,RightArrow
40,50,0,7,0.78329,LeftArrow
41,67,0,7,0.70003,RightArrow
42,33,0,7,0.69996,LeftArrow
43,100,0,7,0.69998,RightArrow
44,50,4,7,0.8167,LeftArrow
45,100,7,7,0.73339,RightArrow
46,33,3,7,0.86671,LeftArrow
47,0,4,7,0.95005,LeftArrow
48,100,1,7,0.61665,RightArrow
49,50,4,7,0.70007,LeftArrow
50,67,7,7,0.73337,RightArrow
51,50,1,7,1.6834,RightArrow
52,100,4,7,0.80002,RightArrow
53,100,3,7,0.83332,RightArrow
54,17,6,7,0.68334,LeftArrow
55,0,5,7,1.1166,LeftArrow
56,83,6,7,0.85004,LeftArrow
57,50,5,7,0.76677,RightArrow
58,100,3,7,0.63336,RightArrow
59,100,6,7,0.75007,LeftArrow
60,50,5,7,0.65018,RightArrow
61,17,2,7,1.9833,RightArrow
62,67,7,7,0.88333,RightArrow
63,17,5,7,1.1835,LeftArrow
64,17,0,7,0.63331,LeftArrow
65,67,4,7,0.71668,RightArrow
66,67,6,7,1.3334,LeftArrow
67,0,5,7,2.6834,LeftArrow
68,100,1,7,0.6334,RightArrow
69,100,7,7,0.83338,RightArrow
70,33,5,7,0.70006,LeftArrow
71,83,3,7,0.73334,RightArrow
72,17,3,7,0.85006,LeftArrow
73,17,4,7,0.95005,LeftArrow
74,100,2,7,0.7333,RightArrow
75,0,2,7,0.76664,LeftArrow
76,50,3,7,0.9,LeftArrow
77,33,1,7,0.90004,LeftArrow
78,67,3,7,0.71674,RightArrow
79,67,3,7,0.78332,LeftArrow
80,50,1,7,0.78332,LeftArrow
81,67,2,7,0.69998,RightArrow
82,0,3,7,1.2333,LeftArrow
83,33,1,7,0.93337,LeftArrow
84,83,4,7,0.80001,RightArrow
85,17,7,7,0.76671,LeftArrow
86,83,6,7,0.98335,LeftArrow
87,0,2,7,0.80006,LeftArrow
88,100,2,7,0.73336,RightArrow
89,33,6,7,0.70002,LeftArrow
90,0,3,7,0.91662,RightArrow
91,33,5,7,0.56667,LeftArrow
92,0,6,7,0.7167,LeftArrow
93,17,5,7,0.89998,LeftArrow
94,67,4,7,0.7166,LeftArrow
95,50,2,7,0.78335,LeftArrow
96,83,7,7,0.7667,RightArrow
97,0,6,7,0.78334,LeftArrow
98,83,5,7,1.0168,RightArrow
99,83,5,7,0.61671,RightArrow
100,67,2,7,0.68333,RightArrow
101,50,7,7,0.68335,LeftArrow
102,50,3,7,0.71668,LeftArrow
103,33,0,7,0.91667,LeftArrow
104,0,7,7,0.91681,RightArrow
105,17,6,7,0.93333,LeftArrow
106,0,1,7,0.83332,LeftArrow
107,83,1,7,1.05,RightArrow
108,100,0,7,0.95,RightArrow
109,33,3,7,0.89999,LeftArrow
110,83,2,7,1.25,RightArrow
111,33,4,7,0.66671,LeftArrow
112,33,4,7,0.76675,LeftArrow
