ntrl,morph,pos,ecc,rt,response
1,50,4,7,0.66672,LeftArrow
2,67,5,7,1.2333,RightArrow
3,0,2,7,1.5167,LeftArrow
4,100,2,7,0.81664,RightArrow
5,67,2,7,0.75001,RightArrow
6,83,7,7,0.79996,LeftArrow
7,100,0,7,0.86669,RightArrow
8,33,7,7,0.98338,LeftArrow
9,83,4,7,0.70002,RightArrow
10,83,2,7,0.81669,RightArrow
11,67,7,7,0.65008,RightArrow
12,50,0,7,0.78337,LeftArrow
13,50,6,7,0.98337,RightArrow
14,50,6,7,1.4001,LeftArrow
15,0,6,7,0.88338,LeftArrow
16,83,4,7,0.91665,RightArrow
17,33,6,7,1.1834,LeftArrow
18,50,7,7,1.0167,LeftArrow
19,100,1,7,0.80001,RightArrow
20,17,6,7,1.15,LeftArrow
21,50,1,7,1.0667,LeftArrow
22,100,4,7,0.65001,RightArrow
23,0,4,7,1.0834,LeftArrow
24,83,2,7,0.7167,RightArrow
25,67,3,7,1.0667,RightArrow
26,17,1,7,0.76675,RightArrow
27,100,5,7,0.71668,RightArrow
28,50,3,7,1.3,LeftArrow
29,50,2,7,0.74999,LeftArrow
30,17,0,7,0.76666,LeftArrow
31,67,7,7,0.58334,LeftArrow
32,17,2,7,0.63338,RightArrow
33,17,3,7,0.50001,RightArrow
34,33,4,7,3.5168,RightArrow
35,17,3,7,1.7334,LeftArrow
36,33,6,7,0.70003,LeftArrow
37,50,7,7,0.71667,LeftArrow
38,83,7,7,0.71666,RightArrow
39,17,6,7,1.2667,RightArrow
40,17,7,7,0.66667,LeftArrow
41,33,4,7,1.2,LeftArrow
42,33,1,7,0.61665,LeftArrow
43,0,6,7,0.70006,LeftArrow
44,83,0,7,0.70007,LeftArrow
45,50,1,7,0.66667,LeftArrow
46,100,3,7,0.65007,RightArrow
47,83,5,7,0.78333,RightArrow
48,0,5,7,0.88333,LeftArrow
49,0,4,7,1.0334,LeftArrow
50,0,5,7,0.60001,LeftArrow
51,33,5,7,0.90006,RightArrow
52,67,1,7,0.96669,RightArrow
53,83,1,7,0.63335,RightArrow
54,83,1,7,0.55006,RightArrow
55,0,0,7,0.63337,LeftArrow
56,33,0,7,0.59998,LeftArrow
57,67,6,7,0.99998,LeftArrow
58,17,4,7,0.71665,LeftArrow
59,100,6,7,0.81665,RightArrow
60,0,3,7,1.4167,RightArrow
61,50,5,7,0.66664,LeftArrow
62,17,4,7,0.84998,LeftArrow
63,67,5,7,0.61673,LeftArrow
64,17,5,7,0.78326,RightArrow
65,17,5,7,1.1,RightArrow
66,17,7,7,1.4167,LeftArrow
67,67,3,7,0.74998,RightArrow
68,83,3,7,0.50005,RightArrow
69,67,0,7,0.91673,LeftArrow
70,100,7,7,0.81672,RightArrow
71,83,6,7,1.1334,LeftArrow
72,0,1,7,0.99999,LeftArrow
73,100,0,7,0.80004,RightArrow
74,100,5,7,0.78338,RightArrow
75,17,0,7,0.73334,LeftArrow
76,67,0,7,0.61665,LeftArrow
77,33,1,7,0.63332,LeftArrow
78,83,0,7,0.88336,RightArrow
79,83,5,7,0.70006,RightArrow
80,0,3,7,0.95006,RightArrow
81,50,2,7,0.63342,LeftArrow
82,33,0,7,0.73334,LeftArrow
83,17,1,7,1.2001,RightArrow
84,50,5,7,0.71672,LeftArrow
85,17,2,7,0.6667,LeftArrow
86,0,1,7,0.71668,RightArrow
87,33,3,7,0.7667,LeftArrow
88,33,3,7,0.86669,LeftArrow
89,50,0,7,0.71665,LeftArrow
90,33,7,7,0.78337,LeftArrow
91,50,4,7,0.56666,LeftArrow
92,0,7,7,0.76672,LeftArrow
93,100,1,7,0.51671,RightArrow
94,0,2,7,0.76668,RightArrow
95,83,6,7,0.70005,RightArrow
96,33,5,7,0.61673,LeftArrow
97,100,4,7,0.65002,RightArrow
98,67,4,7,0.73337,RightArrow
99,33,2,7,0.98335,LeftArrow
100,67,1,7,0.93334,RightArrow
101,67,6,7,0.83334,LeftArrow
102,100,7,7,0.7833,RightArrow
103,0,0,7,0.85008,LeftArrow
104,100,2,7,0.63332,RightArrow
105,83,3,7,0.61665,RightArrow
106,100,6,7,0.73333,RightArrow
107,100,3,7,0.51673,RightArrow
108,50,3,7,0.51662,RightArrow
109,33,2,7,0.56668,RightArrow
110,0,7,7,0.60001,RightArrow
111,67,2,7,0.46665,RightArrow
112,67,4,7,0.5168,RightArrow
