ntrl,morph,pos,ecc,rt,response
1,67,6,7,5.7168,RightArrow
2,83,5,7,1,RightArrow
3,33,7,7,1.1,LeftArrow
4,0,0,7,1.2167,LeftArrow
5,67,6,7,1.0167,LeftArrow
6,100,7,7,0.81672,RightArrow
7,83,2,7,0.8334,RightArrow
8,33,1,7,0.9667,LeftArrow
9,83,3,7,1.15,LeftArrow
10,33,7,7,0.93338,LeftArrow
11,83,0,7,0.96666,LeftArrow
12,17,6,7,0.85003,LeftArrow
13,0,0,7,0.68333,LeftArrow
14,67,1,7,1.1833,RightArrow
15,100,4,7,0.76672,RightArrow
16,17,0,7,0.83338,LeftArrow
17,100,4,7,0.85006,RightArrow
18,33,0,7,0.76667,LeftArrow
19,100,6,7,1.0334,RightArrow
20,0,2,7,0.76662,LeftArrow
21,67,0,7,1.4167,LeftArrow
22,100,5,7,0.6833,RightArrow
23,17,4,7,1.0333,LeftArrow
24,83,6,7,1.8834,RightArrow
25,67,3,7,0.90007,RightArrow
26,100,3,7,0.63332,RightArrow
27,17,4,7,0.59997,LeftArrow
28,67,1,7,0.75001,LeftArrow
29,17,2,7,0.86671,LeftArrow
30,83,7,7,0.84999,RightArrow
31,67,0,7,0.71668,LeftArrow
32,17,5,7,0.85002,LeftArrow
33,67,2,7,0.73333,RightArrow
34,17,2,7,1.1001,LeftArrow
35,50,4,7,1.0001,RightArrow
36,33,3,7,1.0334,LeftArrow
37,0,3,7,1.0834,LeftArrow
38,50,2,7,0.8667,LeftArrow
39,0,4,7,0.56672,LeftArrow
40,17,5,7,0.91667,LeftArrow
41,83,3,7,0.61667,LeftArrow
42,50,4,7,0.64999,LeftArrow
43,33,5,7,0.73328,LeftArrow
44,0,4,7,0.58328,LeftArrow
45,33,0,7,0.74998,LeftArrow
46,50,7,7,1.0835,RightArrow
47,0,1,7,0.7167,LeftArrow
48,67,2,7,1.2167,LeftArrow
49,50,6,7,1.65,RightArrow
50,100,1,7,1.1,RightArrow
51,33,6,7,0.86672,LeftArrow
52,17,7,7,1.9667,RightArrow
53,50,7,7,0.83335,LeftArrow
54,100,0,7,1.2,RightArrow
55,67,7,7,0.76672,LeftArrow
56,33,4,7,0.66672,LeftArrow
57,0,7,7,0.71666,LeftArrow
58,50,6,7,0.88336,LeftArrow
59,33,3,7,0.73331,LeftArrow
60,33,5,7,0.54998,LeftArrow
61,33,1,7,1,LeftArrow
62,0,1,7,0.66669,LeftArrow
63,50,5,7,0.83345,LeftArrow
64,100,2,7,0.55,RightArrow
65,100,3,7,0.68335,RightArrow
66,33,6,7,0.81675,LeftArrow
67,17,7,7,0.96674,LeftArrow
68,33,4,7,1.0167,RightArrow
69,17,3,7,1.2001,RightArrow
70,100,0,7,0.93335,RightArrow
71,0,7,7,0.80002,LeftArrow
72,17,6,7,0.73341,LeftArrow
73,83,6,7,0.5167,LeftArrow
74,67,5,7,1.7167,RightArrow
75,83,4,7,0.6166,RightArrow
76,50,0,7,0.78334,LeftArrow
77,33,2,7,2.3333,LeftArrow
78,0,3,7,0.81673,LeftArrow
79,67,3,7,1.0334,RightArrow
80,83,5,7,0.69998,RightArrow
81,0,6,7,0.81667,LeftArrow
82,50,2,7,1.8334,LeftArrow
83,33,2,7,1,LeftArrow
84,17,1,7,0.78338,RightArrow
85,100,6,7,0.61672,RightArrow
86,83,1,7,0.55002,RightArrow
87,67,4,7,0.7166,LeftArrow
88,83,7,7,1,RightArrow
89,50,1,7,0.93329,LeftArrow
90,83,1,7,0.78328,RightArrow
91,67,4,7,0.68337,RightArrow
92,50,3,7,0.63331,RightArrow
93,100,5,7,0.80001,RightArrow
94,0,5,7,0.84999,LeftArrow
95,67,7,7,1.8,LeftArrow
96,100,1,7,0.65008,RightArrow
97,50,5,7,0.8,RightArrow
98,100,2,7,0.58335,RightArrow
99,50,0,7,0.6334,LeftArrow
100,83,0,7,1.0667,RightArrow
101,17,3,7,1.1333,LeftArrow
102,100,7,7,0.85004,RightArrow
103,83,4,7,0.70002,RightArrow
104,0,2,7,0.7,LeftArrow
105,0,6,7,2.6335,LeftArrow
106,17,1,7,0.95,LeftArrow
107,50,3,7,1.0834,LeftArrow
108,0,5,7,1.8834,RightArrow
109,67,5,7,0.66667,RightArrow
110,17,0,7,0.61664,LeftArrow
111,83,2,7,1.0666,LeftArrow
112,50,1,7,1.1167,LeftArrow
