ntrl,morph,pos,ecc,rt,response
1,33,2,7,0.81667,LeftArrow
2,67,3,7,1.1,RightArrow
3,0,7,7,0.61664,LeftArrow
4,83,6,7,0.55003,RightArrow
5,50,6,7,1.1667,LeftArrow
6,17,0,7,0.70006,LeftArrow
7,100,3,7,0.75001,RightArrow
8,83,7,7,1.3334,RightArrow
9,17,2,7,0.81667,LeftArrow
10,67,2,7,0.76666,RightArrow
11,100,7,7,0.9334,RightArrow
12,0,3,7,0.70013,LeftArrow
13,17,6,7,1.0334,RightArrow
14,33,0,7,0.61669,LeftArrow
15,33,6,7,0.98336,RightArrow
16,100,6,7,0.70001,RightArrow
17,0,2,7,0.75005,LeftArrow
18,0,5,7,0.78335,LeftArrow
19,100,5,7,0.59996,RightArrow
20,33,0,7,0.73332,LeftArrow
21,100,2,7,0.60002,RightArrow
22,100,3,7,0.75002,RightArrow
23,50,5,7,0.66669,LeftArrow
24,83,2,7,0.63336,RightArrow
25,33,1,7,1.0669,LeftArrow
26,50,3,7,0.86665,RightArrow
27,0,6,7,0.74999,LeftArrow
28,67,4,7,0.61661,RightArrow
29,33,5,7,0.85004,LeftArrow
30,50,2,7,1.3667,LeftArrow
31,0,1,7,0.58336,LeftArrow
32,67,6,7,0.93336,RightArrow
33,67,5,7,0.73331,RightArrow
34,17,4,7,0.60005,LeftArrow
35,50,1,7,0.81665,LeftArrow
36,33,3,7,0.81671,LeftArrow
37,100,1,7,0.61666,RightArrow
38,50,5,7,0.65,LeftArrow
39,17,7,7,0.68336,LeftArrow
40,100,6,7,0.63338,RightArrow
41,67,4,7,0.84996,LeftArrow
42,0,7,7,0.66665,LeftArrow
43,17,6,7,1.65,RightArrow
44,17,4,7,0.78334,LeftArrow
45,17,2,7,0.71669,RightArrow
46,17,7,7,0.71667,LeftArrow
47,67,3,7,0.89998,RightArrow
48,50,4,7,0.88335,LeftArrow
49,67,0,7,0.93336,RightArrow
50,67,1,7,1.1333,RightArrow
51,50,2,7,0.98336,LeftArrow
52,83,5,7,0.83335,RightArrow
53,50,3,7,1.4666,LeftArrow
54,83,1,7,0.63333,RightArrow
55,100,1,7,0.60005,RightArrow
56,83,2,7,0.75005,RightArrow
57,0,1,7,0.63362,LeftArrow
58,17,3,7,0.56668,LeftArrow
59,33,6,7,1.3834,LeftArrow
60,0,5,7,0.59999,LeftArrow
61,17,5,7,0.69999,LeftArrow
62,0,0,7,0.55,LeftArrow
63,50,6,7,1.25,RightArrow
64,50,1,7,0.60004,RightArrow
65,50,0,7,1.1501,RightArrow
66,100,5,7,0.70001,LeftArrow
67,17,5,7,0.7333,LeftArrow
68,0,3,7,0.56667,LeftArrow
69,100,0,7,0.61672,RightArrow
70,83,3,7,0.63354,RightArrow
71,67,2,7,0.7,RightArrow
72,100,4,7,0.58334,RightArrow
73,67,6,7,0.91666,RightArrow
74,33,4,7,0.51674,LeftArrow
75,100,7,7,0.53334,RightArrow
76,67,0,7,0.84993,LeftArrow
77,0,6,7,1.3833,RightArrow
78,100,0,7,0.56669,RightArrow
79,17,1,7,0.55,LeftArrow
80,33,4,7,0.51659,LeftArrow
81,0,2,7,1,LeftArrow
82,67,1,7,0.63336,RightArrow
83,83,5,7,0.78334,RightArrow
84,50,7,7,0.63339,LeftArrow
85,83,6,7,0.71671,RightArrow
86,17,1,7,0.70006,LeftArrow
87,50,4,7,0.61664,RightArrow
88,33,1,7,0.98331,LeftArrow
89,83,4,7,0.66664,RightArrow
90,83,3,7,0.53333,RightArrow
91,50,7,7,0.5833,LeftArrow
92,83,0,7,0.73332,RightArrow
93,50,0,7,1.5833,LeftArrow
94,17,0,7,1.3334,RightArrow
95,67,7,7,1.4167,RightArrow
96,67,5,7,0.68335,RightArrow
97,100,4,7,0.60003,RightArrow
98,33,7,7,1.2166,LeftArrow
99,83,1,7,0.74999,RightArrow
100,83,7,7,1.4501,RightArrow
101,33,2,7,0.75002,LeftArrow
102,0,0,7,0.68334,LeftArrow
103,33,7,7,0.63332,LeftArrow
104,33,3,7,0.48336,RightArrow
105,33,5,7,0.61672,LeftArrow
106,83,0,7,0.78341,RightArrow
107,83,4,7,0.53332,RightArrow
108,0,4,7,0.58334,LeftArrow
109,67,7,7,0.88337,LeftArrow
110,17,3,7,1.1,LeftArrow
111,0,4,7,0.55002,LeftArrow
112,100,2,7,0.55003,RightArrow
