ntrl,morph,pos,ecc,rt,response
1,67,6,7,0.73336,RightArrow
2,83,5,7,0.73329,RightArrow
3,33,7,7,0.81669,LeftArrow
4,0,0,7,0.74998,RightArrow
5,67,6,7,0.70001,RightArrow
6,100,7,7,0.48337,RightArrow
7,83,2,7,0.66669,RightArrow
8,33,1,7,0.71666,LeftArrow
9,83,3,7,0.58336,RightArrow
10,33,7,7,0.59997,LeftArrow
11,83,0,7,0.58331,RightArrow
12,17,6,7,0.75,RightArrow
13,0,0,7,0.78331,LeftArrow
14,67,1,7,0.76669,RightArrow
15,100,4,7,0.66671,RightArrow
16,17,0,7,0.65004,LeftArrow
17,100,4,7,0.71666,RightArrow
18,33,0,7,0.91675,LeftArrow
19,100,6,7,0.6166,RightArrow
20,0,2,7,0.81672,LeftArrow
21,67,0,7,1.2334,RightArrow
22,100,5,7,0.60001,RightArrow
23,17,4,7,0.51668,LeftArrow
24,83,6,7,0.64998,RightArrow
25,67,3,7,2.2833,RightArrow
26,100,3,7,0.86663,RightArrow
27,17,4,7,0.53333,LeftArrow
28,67,1,7,0.75005,RightArrow
29,17,2,7,0.5833,LeftArrow
30,83,7,7,0.6167,RightArrow
31,67,0,7,1.1334,RightArrow
32,17,5,7,0.78337,LeftArrow
33,67,2,7,0.60006,RightArrow
34,17,2,7,0.8167,LeftArrow
35,50,4,7,0.71669,LeftArrow
36,33,3,7,0.6667,LeftArrow
37,0,3,7,0.51666,LeftArrow
38,50,2,7,0.91669,RightArrow
39,0,4,7,0.48329,LeftArrow
40,17,5,7,0.58337,LeftArrow
41,83,3,7,0.71669,RightArrow
42,50,4,7,0.63341,LeftArrow
43,33,5,7,0.53337,LeftArrow
44,0,4,7,0.51668,LeftArrow
45,33,0,7,0.71667,LeftArrow
46,50,7,7,1.1667,LeftArrow
47,0,1,7,0.86667,LeftArrow
48,67,2,7,0.8,LeftArrow
49,50,6,7,0.64998,RightArrow
50,100,1,7,0.73337,RightArrow
51,33,6,7,0.76664,LeftArrow
52,17,7,7,0.56677,LeftArrow
53,50,7,7,0.89999,LeftArrow
54,100,0,7,0.60001,RightArrow
55,67,7,7,0.90022,LeftArrow
56,33,4,7,0.58333,LeftArrow
57,0,7,7,0.61673,LeftArrow
58,50,6,7,0.68334,RightArrow
59,33,3,7,1.8334,RightArrow
60,33,5,7,0.83333,LeftArrow
61,33,1,7,0.56666,LeftArrow
62,0,1,7,0.46671,LeftArrow
63,50,5,7,0.70013,RightArrow
64,100,2,7,0.59998,RightArrow
65,100,3,7,0.51667,RightArrow
66,33,6,7,1.1834,LeftArrow
67,17,7,7,0.56664,LeftArrow
68,33,4,7,0.68336,LeftArrow
69,17,3,7,1.2001,LeftArrow
70,100,0,7,0.51669,RightArrow
71,0,7,7,0.85008,LeftArrow
72,17,6,7,0.75001,RightArrow
73,83,6,7,0.6833,RightArrow
74,67,5,7,0.61666,RightArrow
75,83,4,7,0.51666,RightArrow
76,50,0,7,0.75001,LeftArrow
77,33,2,7,0.78351,LeftArrow
78,0,3,7,0.55008,LeftArrow
79,67,3,7,0.53332,LeftArrow
80,83,5,7,1.3501,RightArrow
81,0,6,7,1.2833,LeftArrow
82,50,2,7,0.79998,LeftArrow
83,33,2,7,1.8834,LeftArrow
84,17,1,7,0.91667,LeftArrow
85,100,6,7,0.60005,RightArrow
86,83,1,7,0.70002,RightArrow
87,67,4,7,0.68333,RightArrow
88,83,7,7,0.51687,RightArrow
89,50,1,7,1.1167,LeftArrow
90,83,1,7,0.65002,RightArrow
91,67,4,7,1.2334,LeftArrow
92,50,3,7,0.88331,RightArrow
93,100,5,7,0.5834,LeftArrow
94,0,5,7,0.83337,LeftArrow
95,67,7,7,0.71669,RightArrow
96,100,1,7,0.83345,RightArrow
97,50,5,7,1.1502,RightArrow
98,100,2,7,0.76673,RightArrow
99,50,0,7,1.0668,LeftArrow
100,83,0,7,0.83337,RightArrow
101,17,3,7,0.56666,LeftArrow
102,100,7,7,0.61672,RightArrow
103,83,4,7,0.68333,RightArrow
104,0,2,7,0.74993,LeftArrow
105,0,6,7,0.76664,RightArrow
106,17,1,7,0.48332,RightArrow
107,50,3,7,0.83336,RightArrow
108,0,5,7,0.85002,LeftArrow
109,67,5,7,0.83334,RightArrow
110,17,0,7,1.1,RightArrow
111,83,2,7,0.58337,RightArrow
112,50,1,7,0.5667,LeftArrow
