ntrl,morph,pos,ecc,rt,response
1,50,7,7,1.2667,LeftArrow
2,33,3,7,1.6001,LeftArrow
3,17,3,7,0.75001,LeftArrow
4,50,0,7,1.0167,LeftArrow
5,17,4,7,0.73334,LeftArrow
6,100,5,7,0.61673,RightArrow
7,50,7,7,0.66669,LeftArrow
8,67,7,7,1.1334,RightArrow
9,17,5,7,0.73331,LeftArrow
10,100,5,7,0.78334,RightArrow
11,50,6,7,1.6667,LeftArrow
12,83,0,7,0.73337,RightArrow
13,100,1,7,0.8669,RightArrow
14,0,4,7,0.75008,LeftArrow
15,100,7,7,1.0167,LeftArrow
16,67,4,7,0.90003,RightArrow
17,17,2,7,0.66671,LeftArrow
18,33,3,7,1.0167,LeftArrow
19,0,0,7,1.1833,RightArrow
20,33,4,7,1.25,LeftArrow
21,50,4,7,0.90002,RightArrow
22,67,6,7,0.91661,RightArrow
23,0,5,7,0.71673,LeftArrow
24,50,5,7,0.66669,LeftArrow
25,33,1,7,2.9834,LeftArrow
26,67,7,7,1.2833,LeftArrow
27,83,1,7,0.75011,RightArrow
28,83,7,7,0.90005,RightArrow
29,83,2,7,0.83353,RightArrow
30,100,3,7,0.60002,RightArrow
31,17,4,7,0.65001,LeftArrow
32,83,3,7,0.63342,RightArrow
33,83,1,7,0.73334,RightArrow
34,67,6,7,0.81668,RightArrow
35,100,4,7,0.65006,RightArrow
36,83,6,7,0.60001,RightArrow
37,83,4,7,0.50001,RightArrow
38,50,3,7,0.95002,RightArrow
39,100,3,7,0.44999,RightArrow
40,83,7,7,0.66667,RightArrow
41,17,5,7,0.66667,LeftArrow
42,33,2,7,0.71673,RightArrow
43,0,2,7,0.91669,LeftArrow
44,100,2,7,0.68337,RightArrow
45,50,1,7,0.79997,LeftArrow
46,83,5,7,0.7334,RightArrow
47,83,4,7,1.1834,RightArrow
48,33,6,7,0.85001,LeftArrow
49,0,1,7,0.80004,LeftArrow
50,67,0,7,0.84997,RightArrow
51,67,5,7,0.98337,RightArrow
52,67,1,7,1.15,RightArrow
53,83,2,7,0.7,RightArrow
54,33,1,7,0.65003,LeftArrow
55,100,6,7,0.73331,RightArrow
56,67,0,7,0.83335,LeftArrow
57,33,5,7,0.76664,LeftArrow
58,0,5,7,0.86674,LeftArrow
59,17,0,7,0.81688,RightArrow
60,33,6,7,1.3168,RightArrow
61,83,6,7,0.68332,RightArrow
62,0,7,7,0.6,LeftArrow
63,17,7,7,0.63332,LeftArrow
64,100,4,7,0.54998,RightArrow
65,67,3,7,0.83331,RightArrow
66,0,6,7,0.83339,LeftArrow
67,83,3,7,0.84999,RightArrow
68,100,2,7,0.61674,RightArrow
69,50,1,7,0.53338,RightArrow
70,67,3,7,0.83339,RightArrow
71,0,3,7,0.65004,LeftArrow
72,0,2,7,0.6667,LeftArrow
73,33,7,7,1.2,LeftArrow
74,67,5,7,0.78338,RightArrow
75,33,5,7,0.78331,LeftArrow
76,83,5,7,0.65003,RightArrow
77,33,7,7,1.1833,LeftArrow
78,17,1,7,0.98338,LeftArrow
79,67,1,7,0.93332,LeftArrow
80,33,4,7,0.60006,LeftArrow
81,33,0,7,1.25,LeftArrow
82,67,2,7,0.83339,RightArrow
83,0,6,7,0.76675,LeftArrow
84,50,3,7,0.93334,LeftArrow
85,100,1,7,0.71662,RightArrow
86,100,7,7,1.1167,RightArrow
87,33,2,7,0.74999,LeftArrow
88,67,2,7,0.75001,RightArrow
89,17,2,7,0.64999,LeftArrow
90,50,4,7,0.85001,LeftArrow
91,50,2,7,2.15,LeftArrow
92,0,3,7,0.58336,LeftArrow
93,50,0,7,0.73339,RightArrow
94,0,7,7,1.0167,LeftArrow
95,33,0,7,0.86664,RightArrow
96,83,0,7,0.73343,RightArrow
97,50,2,7,0.90005,RightArrow
98,0,0,7,0.95033,LeftArrow
99,100,0,7,0.65003,RightArrow
100,0,1,7,0.58336,LeftArrow
101,67,4,7,0.68334,RightArrow
102,17,6,7,0.84999,LeftArrow
103,17,6,7,1.0167,RightArrow
104,17,1,7,0.60009,LeftArrow
105,50,6,7,1.3501,RightArrow
106,17,0,7,0.85001,LeftArrow
107,100,0,7,0.7167,RightArrow
108,100,6,7,0.85017,RightArrow
109,17,3,7,0.65006,LeftArrow
110,17,7,7,0.68331,LeftArrow
111,0,4,7,0.80002,LeftArrow
112,50,5,7,1.5334,LeftArrow
