ntrl,morph,pos,ecc,rt,response
1,100,4,7,1.3167,RightArrow
2,17,5,7,1.4834,RightArrow
3,33,3,7,1.7167,RightArrow
4,0,0,7,1.1333,LeftArrow
5,67,4,7,1.9667,LeftArrow
6,33,6,7,1.0834,RightArrow
7,33,4,7,0.81667,LeftArrow
8,83,4,7,1.15,RightArrow
9,33,7,7,2.1667,RightArrow
10,67,6,7,1.35,RightArrow
11,33,0,7,1.0167,LeftArrow
12,50,1,7,2.45,RightArrow
13,83,0,7,1,LeftArrow
14,100,7,7,2.7834,LeftArrow
15,83,6,7,1.15,RightArrow
16,0,3,7,1.0667,LeftArrow
17,17,3,7,0.65002,LeftArrow
18,67,7,7,1.7167,RightArrow
19,83,4,7,1.0167,RightArrow
20,50,5,7,1.0834,RightArrow
21,100,6,7,1.2334,RightArrow
22,17,7,7,1.05,LeftArrow
23,83,0,7,1.2667,LeftArrow
24,17,2,7,0.9167,LeftArrow
25,100,7,7,2.65,RightArrow
26,17,2,7,0.70004,LeftArrow
27,50,5,7,2.7001,RightArrow
28,50,0,7,0.73353,LeftArrow
29,17,3,7,0.98334,LeftArrow
30,0,4,7,1.8834,LeftArrow
31,83,1,7,3.0834,RightArrow
32,0,7,7,1.35,LeftArrow
33,33,1,7,2.3667,RightArrow
34,100,2,7,1.0334,RightArrow
35,17,4,7,0.78339,LeftArrow
36,17,5,7,1.95,LeftArrow
37,100,5,7,0.95001,RightArrow
38,83,2,7,1.65,LeftArrow
39,67,2,7,1.4834,LeftArrow
40,83,1,7,3.7168,RightArrow
41,67,1,7,1.8667,RightArrow
42,83,5,7,0.85001,LeftArrow
43,0,5,7,1.65,RightArrow
44,83,7,7,1.3667,RightArrow
45,17,6,7,0.95001,LeftArrow
46,100,3,7,0.93335,RightArrow
47,67,4,7,1.0166,RightArrow
48,0,2,7,1.1834,RightArrow
49,67,3,7,2.2168,RightArrow
50,50,1,7,1.3834,LeftArrow
51,33,3,7,1.0835,LeftArrow
52,0,3,7,1.2,LeftArrow
53,33,6,7,3.9001,RightArrow
54,50,6,7,2.4667,RightArrow
55,17,6,7,1.0333,RightArrow
56,100,0,7,2.9334,RightArrow
57,0,2,7,0.71671,LeftArrow
58,33,2,7,0.65002,LeftArrow
59,17,7,7,1.4,LeftArrow
60,50,7,7,0.81661,LeftArrow
61,50,4,7,1.0333,LeftArrow
62,50,0,7,0.9667,LeftArrow
63,83,6,7,1.9,LeftArrow
64,50,3,7,0.83343,LeftArrow
65,17,1,7,1.8334,RightArrow
66,33,7,7,1.2168,LeftArrow
67,0,6,7,2.0167,RightArrow
68,17,0,7,1.7667,LeftArrow
69,0,5,7,1.9003,RightArrow
70,0,6,7,1.1,LeftArrow
71,50,7,7,1.1168,RightArrow
72,100,1,7,2.0668,LeftArrow
73,67,1,7,1.8167,RightArrow
74,83,7,7,1.4167,RightArrow
75,100,0,7,2.6167,LeftArrow
76,50,6,7,1.5667,RightArrow
77,67,0,7,1.1834,LeftArrow
78,83,3,7,2.4667,RightArrow
79,33,5,7,1.2167,LeftArrow
80,100,6,7,2.5667,RightArrow
81,17,1,7,1.4,LeftArrow
82,33,1,7,0.88335,LeftArrow
83,100,2,7,0.84998,RightArrow
84,83,5,7,0.78331,RightArrow
85,50,4,7,1.5501,RightArrow
86,33,5,7,1.2667,RightArrow
87,0,1,7,1.7835,RightArrow
88,100,1,7,1.2334,RightArrow
89,67,7,7,1.6833,RightArrow
90,67,2,7,0.73332,RightArrow
91,33,2,7,0.64999,RightArrow
92,83,3,7,1.3001,RightArrow
93,17,0,7,0.71665,LeftArrow
94,50,3,7,1.3333,RightArrow
95,50,2,7,2.5834,LeftArrow
96,67,5,7,0.85005,LeftArrow
97,83,2,7,0.98336,RightArrow
98,0,7,7,4.1334,LeftArrow
99,67,5,7,1.2334,LeftArrow
100,17,4,7,1.2667,LeftArrow
101,100,4,7,0.83334,RightArrow
102,100,3,7,0.73335,RightArrow
103,0,4,7,0.75001,LeftArrow
104,0,0,7,0.88338,LeftArrow
105,67,6,7,2.4834,RightArrow
106,33,4,7,1.3666,LeftArrow
107,50,2,7,1.1167,LeftArrow
108,67,0,7,0.93335,LeftArrow
109,33,0,7,0.66673,LeftArrow
110,0,1,7,2.8001,RightArrow
111,100,5,7,3.3167,RightArrow
112,67,3,7,0.98333,LeftArrow
