ntrl,morph,pos,ecc,rt,response
1,100,7,7,1.5667,RightArrow
2,0,3,7,1.5834,LeftArrow
3,50,0,7,1.1833,LeftArrow
4,17,7,7,1.7001,LeftArrow
5,0,6,7,1.6334,LeftArrow
6,83,7,7,0.7167,RightArrow
7,33,0,7,1.0667,LeftArrow
8,50,6,7,2.5834,RightArrow
9,17,1,7,0.81672,LeftArrow
10,50,2,7,1.7834,LeftArrow
11,100,5,7,0.89999,RightArrow
12,67,7,7,0.75004,RightArrow
13,33,5,7,1.1334,RightArrow
14,67,0,7,1.4167,LeftArrow
15,67,0,7,1.4334,LeftArrow
16,0,6,7,1.1001,LeftArrow
17,33,7,7,2.9667,LeftArrow
18,33,4,7,1.0001,LeftArrow
19,0,7,7,1.05,LeftArrow
20,50,4,7,1.6834,LeftArrow
21,67,4,7,0.63334,LeftArrow
22,0,1,7,0.9667,LeftArrow
23,100,1,7,1.0334,RightArrow
24,83,1,7,1.2334,RightArrow
25,83,2,7,4.4501,RightArrow
26,83,4,7,1.75,RightArrow
27,100,0,7,0.76669,RightArrow
28,0,1,7,0.8167,LeftArrow
29,83,7,7,1.2167,LeftArrow
30,50,7,7,1.3334,LeftArrow
31,17,0,7,1.25,LeftArrow
32,67,1,7,0.93333,LeftArrow
33,83,4,7,3.5167,RightArrow
34,83,5,7,0.75002,RightArrow
35,17,6,7,0.96676,LeftArrow
36,0,5,7,1.9167,RightArrow
37,33,1,7,1.0667,LeftArrow
38,50,1,7,0.71666,LeftArrow
39,0,3,7,1.6167,LeftArrow
40,100,3,7,1.2667,RightArrow
41,100,4,7,0.83329,RightArrow
42,50,5,7,1.1,RightArrow
43,0,0,7,0.69997,LeftArrow
44,67,3,7,1.4333,RightArrow
45,83,2,7,1.0834,RightArrow
46,33,4,7,0.73337,LeftArrow
47,17,4,7,1.4833,LeftArrow
48,17,1,7,2.15,RightArrow
49,17,0,7,0.83352,LeftArrow
50,50,5,7,3.6834,LeftArrow
51,0,4,7,0.58337,LeftArrow
52,67,5,7,1.65,RightArrow
53,67,2,7,1.7835,RightArrow
54,67,4,7,1.0667,RightArrow
55,50,6,7,0.85005,RightArrow
56,17,3,7,0.80006,LeftArrow
57,67,6,7,0.73338,RightArrow
58,0,2,7,1.75,LeftArrow
59,67,6,7,1.0334,RightArrow
60,67,3,7,1.2833,RightArrow
61,33,2,7,0.93339,LeftArrow
62,50,0,7,0.75004,LeftArrow
63,33,1,7,0.76665,LeftArrow
64,17,2,7,0.75002,LeftArrow
65,50,1,7,1.1,LeftArrow
66,83,3,7,1.1169,LeftArrow
67,100,4,7,1.4333,RightArrow
68,83,0,7,0.81665,LeftArrow
69,0,2,7,0.64999,LeftArrow
70,17,2,7,0.59998,LeftArrow
71,50,3,7,0.55003,LeftArrow
72,83,6,7,0.95011,LeftArrow
73,83,0,7,0.91665,RightArrow
74,17,6,7,1.1834,LeftArrow
75,67,2,7,0.73335,RightArrow
76,33,3,7,0.61671,LeftArrow
77,33,0,7,0.56668,RightArrow
78,33,3,7,0.83334,LeftArrow
79,100,2,7,2.6333,RightArrow
80,50,3,7,0.96669,RightArrow
81,83,5,7,1.0667,RightArrow
82,100,6,7,0.96666,RightArrow
83,83,3,7,0.73327,RightArrow
84,83,6,7,0.63334,RightArrow
85,17,4,7,0.76664,LeftArrow
86,33,2,7,0.80005,LeftArrow
87,17,5,7,0.76673,LeftArrow
88,17,7,7,0.7667,RightArrow
89,33,6,7,1.0999,RightArrow
90,100,2,7,0.76667,RightArrow
91,0,7,7,0.73337,RightArrow
92,50,4,7,1.3667,RightArrow
93,100,5,7,1.15,RightArrow
94,0,0,7,0.64999,LeftArrow
95,33,5,7,0.88336,RightArrow
96,100,0,7,1.1,RightArrow
97,100,3,7,0.88338,RightArrow
98,67,1,7,0.90002,RightArrow
99,67,5,7,0.78332,RightArrow
100,100,7,7,1.4166,RightArrow
101,50,2,7,0.86668,RightArrow
102,100,6,7,0.66666,RightArrow
103,0,5,7,1.0167,LeftArrow
104,17,3,7,0.65003,LeftArrow
105,67,7,7,0.63335,RightArrow
106,0,4,7,1.0834,LeftArrow
107,83,1,7,0.76684,RightArrow
108,33,7,7,0.61664,RightArrow
109,50,7,7,0.63339,RightArrow
110,100,1,7,0.70002,RightArrow
111,17,5,7,1.2,LeftArrow
112,33,6,7,1.1167,LeftArrow
