ntrl,morph,pos,ecc,rt,response
1,0,7,7,0.75003,LeftArrow
2,100,7,7,0.63335,RightArrow
3,50,5,7,1.8001,RightArrow
4,33,4,7,1.5834,LeftArrow
5,67,7,7,0.8,RightArrow
6,33,0,7,0.96662,LeftArrow
7,50,2,7,1.2167,LeftArrow
8,0,1,7,0.63335,RightArrow
9,83,6,7,1.95,RightArrow
10,17,1,7,0.98331,RightArrow
11,17,3,7,0.66667,LeftArrow
12,67,2,7,1.1333,RightArrow
13,50,1,7,1.35,RightArrow
14,0,5,7,0.83334,LeftArrow
15,67,0,7,0.66665,RightArrow
16,33,1,7,0.94998,LeftArrow
17,0,5,7,0.70005,LeftArrow
18,83,0,7,0.68335,RightArrow
19,100,3,7,0.81668,RightArrow
20,17,1,7,0.71668,LeftArrow
21,100,1,7,0.70005,RightArrow
22,67,3,7,0.68337,RightArrow
23,33,4,7,0.8333,LeftArrow
24,83,0,7,0.76665,RightArrow
25,83,4,7,0.66669,RightArrow
26,0,7,7,0.69994,LeftArrow
27,0,4,7,0.66666,LeftArrow
28,50,0,7,0.70009,RightArrow
29,83,3,7,0.73328,RightArrow
30,17,2,7,0.74995,LeftArrow
31,17,3,7,1.1334,LeftArrow
32,100,2,7,0.75001,RightArrow
33,17,0,7,1.4833,RightArrow
34,67,7,7,0.69993,LeftArrow
35,0,6,7,0.91678,LeftArrow
36,83,5,7,0.78331,RightArrow
37,33,6,7,0.95,LeftArrow
38,0,3,7,0.65003,LeftArrow
39,83,5,7,0.63334,RightArrow
40,50,6,7,1.25,LeftArrow
41,100,5,7,0.68331,RightArrow
42,50,7,7,1.6334,LeftArrow
43,100,2,7,0.64997,RightArrow
44,100,5,7,0.55,LeftArrow
45,17,5,7,0.83342,LeftArrow
46,50,0,7,0.8167,RightArrow
47,100,6,7,0.66668,RightArrow
48,50,4,7,0.95001,LeftArrow
49,67,2,7,0.84998,RightArrow
50,83,4,7,0.65003,RightArrow
51,83,1,7,0.93339,RightArrow
52,67,1,7,1.4001,RightArrow
53,100,7,7,0.91666,RightArrow
54,33,5,7,0.76666,LeftArrow
55,100,0,7,0.78331,RightArrow
56,50,6,7,1.2167,RightArrow
57,0,0,7,0.79999,LeftArrow
58,67,0,7,0.85003,RightArrow
59,33,2,7,1.15,LeftArrow
60,0,2,7,0.83333,LeftArrow
61,33,5,7,2.9501,RightArrow
62,67,3,7,1.35,RightArrow
63,100,0,7,0.88337,RightArrow
64,100,1,7,1.15,RightArrow
65,50,1,7,0.75005,RightArrow
66,17,4,7,0.71665,LeftArrow
67,50,3,7,1.0334,LeftArrow
68,50,2,7,0.88335,LeftArrow
69,17,7,7,0.73333,LeftArrow
70,0,1,7,0.73335,LeftArrow
71,50,3,7,2.1167,LeftArrow
72,33,7,7,0.66663,LeftArrow
73,17,5,7,0.65004,LeftArrow
74,0,3,7,0.63339,LeftArrow
75,17,6,7,1.5333,RightArrow
76,17,0,7,0.60001,LeftArrow
77,50,5,7,0.65001,LeftArrow
78,33,3,7,0.54997,LeftArrow
79,100,3,7,0.68334,RightArrow
80,67,5,7,0.90001,LeftArrow
81,33,6,7,1.3834,LeftArrow
82,0,4,7,0.55006,LeftArrow
83,83,7,7,0.43336,RightArrow
84,100,4,7,0.80002,RightArrow
85,17,6,7,1.0834,LeftArrow
86,67,4,7,0.56666,RightArrow
87,67,6,7,1.7167,RightArrow
88,33,0,7,1.1334,LeftArrow
89,83,2,7,0.71668,RightArrow
90,83,3,7,0.71667,RightArrow
91,50,4,7,1.2167,LeftArrow
92,100,4,7,0.73335,RightArrow
93,67,4,7,0.60003,RightArrow
94,33,1,7,1.2333,RightArrow
95,83,7,7,0.58327,RightArrow
96,0,0,7,0.51665,LeftArrow
97,83,6,7,0.73331,RightArrow
98,83,1,7,0.63335,RightArrow
99,33,3,7,0.84998,RightArrow
100,17,7,7,0.78341,LeftArrow
101,67,6,7,0.68332,RightArrow
102,0,6,7,0.98338,RightArrow
103,17,4,7,0.61682,LeftArrow
104,0,2,7,0.58332,LeftArrow
105,67,5,7,0.73332,RightArrow
106,17,2,7,1.1833,LeftArrow
107,100,6,7,0.68331,RightArrow
108,50,7,7,0.73336,RightArrow
109,67,1,7,0.61668,RightArrow
110,33,7,7,0.73331,LeftArrow
111,83,2,7,0.70008,RightArrow
112,33,2,7,0.68338,LeftArrow
