ntrl,morph,pos,ecc,rt,response
1,83,3,7,0.81674,RightArrow
2,100,0,7,0.81667,RightArrow
3,83,0,7,1.0833,RightArrow
4,50,6,7,0.56667,LeftArrow
5,83,4,7,0.66668,RightArrow
6,83,3,7,0.65003,RightArrow
7,100,6,7,0.93341,LeftArrow
8,100,7,7,1.15,LeftArrow
9,67,4,7,0.80004,RightArrow
10,0,0,7,0.61664,LeftArrow
11,67,6,7,1.0167,RightArrow
12,67,0,7,0.65005,RightArrow
13,83,0,7,0.5833,RightArrow
14,50,4,7,0.69999,RightArrow
15,83,7,7,0.76673,LeftArrow
16,83,7,7,1.1333,LeftArrow
17,0,1,7,0.66667,LeftArrow
18,17,7,7,0.76672,LeftArrow
19,0,6,7,1.3334,LeftArrow
20,33,5,7,0.70001,LeftArrow
21,17,6,7,0.73332,LeftArrow
22,67,5,7,0.93338,LeftArrow
23,100,4,7,0.65009,RightArrow
24,17,1,7,0.91678,LeftArrow
25,17,0,7,0.93332,RightArrow
26,67,5,7,1.3335,RightArrow
27,83,5,7,1.7167,LeftArrow
28,0,7,7,0.80001,LeftArrow
29,17,0,7,0.86666,LeftArrow
30,50,5,7,1.7833,LeftArrow
31,0,2,7,1.2333,LeftArrow
32,0,3,7,0.7,LeftArrow
33,0,7,7,0.76662,LeftArrow
34,83,6,7,1.0667,RightArrow
35,67,3,7,1.0666,RightArrow
36,17,2,7,1.2167,LeftArrow
37,50,0,7,0.91674,LeftArrow
38,50,2,7,0.56672,LeftArrow
39,100,6,7,2,LeftArrow
40,17,3,7,1.2667,LeftArrow
41,100,2,7,0.73339,RightArrow
42,67,4,7,1.3333,RightArrow
43,0,4,7,0.93334,LeftArrow
44,33,3,7,1.8002,RightArrow
45,50,6,7,1.9667,LeftArrow
46,33,4,7,0.66684,LeftArrow
47,17,5,7,0.71673,LeftArrow
48,33,0,7,1.05,LeftArrow
49,67,1,7,0.73334,RightArrow
50,100,7,7,1.2167,RightArrow
51,50,1,7,1.5334,LeftArrow
52,33,2,7,0.80006,LeftArrow
53,100,5,7,1.9167,LeftArrow
54,100,4,7,1.1,RightArrow
55,67,6,7,0.9667,RightArrow
56,83,6,7,0.71664,RightArrow
57,17,4,7,0.66664,LeftArrow
58,67,7,7,1.2,RightArrow
59,33,6,7,1.3,LeftArrow
60,83,1,7,0.96668,RightArrow
61,17,4,7,0.7667,LeftArrow
62,0,2,7,2.7501,LeftArrow
63,0,6,7,1.5,LeftArrow
64,17,1,7,3.2334,RightArrow
65,67,2,7,2.9167,RightArrow
66,67,1,7,1.1667,RightArrow
67,67,3,7,1.1167,RightArrow
68,33,1,7,1.15,RightArrow
69,0,1,7,0.48341,RightArrow
70,50,3,7,0.85005,RightArrow
71,50,7,7,1.0001,LeftArrow
72,100,2,7,0.76676,RightArrow
73,33,2,7,0.8,LeftArrow
74,33,7,7,1.7,LeftArrow
75,33,6,7,1.0166,LeftArrow
76,17,5,7,0.7,LeftArrow
77,83,2,7,0.88334,RightArrow
78,0,5,7,1.2,LeftArrow
79,100,0,7,0.80003,RightArrow
80,83,4,7,1.15,RightArrow
81,50,5,7,3.2667,LeftArrow
82,33,0,7,1.1167,LeftArrow
83,100,1,7,0.7167,RightArrow
84,50,7,7,2.2834,RightArrow
85,100,5,7,0.75001,RightArrow
86,17,2,7,1.5001,LeftArrow
87,100,3,7,2.5834,RightArrow
88,33,5,7,1.0667,LeftArrow
89,0,0,7,2.6167,RightArrow
90,50,1,7,0.83331,LeftArrow
91,33,7,7,1.8001,LeftArrow
92,0,3,7,0.68332,LeftArrow
93,33,1,7,0.85,RightArrow
94,83,2,7,1.1667,RightArrow
95,0,4,7,0.6334,LeftArrow
96,33,4,7,0.55005,LeftArrow
97,17,3,7,0.70002,LeftArrow
98,67,2,7,0.79998,RightArrow
99,33,3,7,0.80007,LeftArrow
100,50,0,7,0.50008,RightArrow
101,100,3,7,0.66659,RightArrow
102,50,4,7,1.3,LeftArrow
103,100,1,7,0.76672,RightArrow
104,83,1,7,1.7167,RightArrow
105,17,6,7,0.93338,LeftArrow
106,67,0,7,0.66671,RightArrow
107,67,7,7,0.90005,RightArrow
108,0,5,7,0.63328,LeftArrow
109,17,7,7,0.83335,LeftArrow
110,83,5,7,0.75002,RightArrow
111,50,3,7,1.0334,LeftArrow
112,50,2,7,1.1334,RightArrow
