ntrl,morph,pos,ecc,rt,response
1,17,5,7,0.6,LeftArrow
2,67,3,7,0.66665,RightArrow
3,33,4,7,1.05,RightArrow
4,33,7,7,0.81666,LeftArrow
5,100,0,7,0.5833,LeftArrow
6,0,6,7,1.15,LeftArrow
7,0,5,7,1.2334,RightArrow
8,67,4,7,0.85001,RightArrow
9,33,2,7,1.2335,RightArrow
10,67,1,7,0.73332,RightArrow
11,83,3,7,1.75,RightArrow
12,50,2,7,1.0667,RightArrow
13,50,1,7,0.8834,RightArrow
14,0,0,7,0.75001,LeftArrow
15,17,3,7,2.8333,LeftArrow
16,100,2,7,0.61678,RightArrow
17,67,2,7,1.05,RightArrow
18,100,4,7,0.98333,RightArrow
19,67,3,7,0.69998,RightArrow
20,17,7,7,0.65006,LeftArrow
21,33,0,7,1.3667,RightArrow
22,83,4,7,0.68333,RightArrow
23,100,5,7,1.3501,RightArrow
24,67,7,7,0.91668,LeftArrow
25,0,4,7,0.73338,LeftArrow
26,83,2,7,0.73336,RightArrow
27,50,4,7,1.3501,LeftArrow
28,100,3,7,0.91678,RightArrow
29,83,6,7,0.83338,RightArrow
30,83,4,7,0.68334,RightArrow
31,83,5,7,1.5333,LeftArrow
32,67,5,7,0.95003,LeftArrow
33,50,5,7,0.94998,RightArrow
34,83,7,7,0.78338,LeftArrow
35,33,1,7,0.86666,LeftArrow
36,33,6,7,0.68338,RightArrow
37,50,5,7,1.1167,LeftArrow
38,83,5,7,1.0834,LeftArrow
39,100,7,7,1.7167,LeftArrow
40,50,3,7,1.1167,LeftArrow
41,67,7,7,2,RightArrow
42,100,7,7,0.61665,RightArrow
43,67,0,7,0.91667,LeftArrow
44,50,6,7,0.90003,LeftArrow
45,50,7,7,0.91667,LeftArrow
46,33,6,7,0.73335,LeftArrow
47,17,4,7,0.83338,LeftArrow
48,67,4,7,0.95009,LeftArrow
49,100,6,7,1.4167,LeftArrow
50,17,4,7,0.73331,LeftArrow
51,0,7,7,0.71664,LeftArrow
52,100,5,7,0.65005,RightArrow
53,83,6,7,0.64994,RightArrow
54,0,5,7,0.74995,LeftArrow
55,0,0,7,1,LeftArrow
56,17,6,7,0.63338,LeftArrow
57,33,5,7,1.1501,LeftArrow
58,50,4,7,1.0667,RightArrow
59,50,0,7,0.78341,RightArrow
60,100,2,7,0.76665,RightArrow
61,33,1,7,0.73339,LeftArrow
62,33,2,7,1.3,LeftArrow
63,100,1,7,0.76667,RightArrow
64,17,0,7,0.71666,LeftArrow
65,50,3,7,1.0167,LeftArrow
66,67,1,7,0.96673,LeftArrow
67,17,5,7,0.6167,LeftArrow
68,50,6,7,1.0333,LeftArrow
69,0,2,7,1.1834,LeftArrow
70,100,4,7,0.53338,RightArrow
71,83,1,7,0.86672,RightArrow
72,67,5,7,1.5334,LeftArrow
73,0,3,7,0.83335,LeftArrow
74,83,0,7,0.53333,RightArrow
75,17,1,7,1.1834,LeftArrow
76,83,0,7,0.61668,RightArrow
77,67,0,7,1.1001,RightArrow
78,50,0,7,0.73334,RightArrow
79,33,3,7,0.71672,LeftArrow
80,33,4,7,0.86662,RightArrow
81,17,0,7,1.15,RightArrow
82,0,2,7,0.61667,LeftArrow
83,0,7,7,0.65001,LeftArrow
84,67,6,7,0.60006,RightArrow
85,67,6,7,0.7834,RightArrow
86,50,7,7,0.73337,LeftArrow
87,0,4,7,0.69995,RightArrow
88,100,1,7,0.80006,RightArrow
89,0,1,7,0.86673,LeftArrow
90,67,2,7,0.64996,RightArrow
91,83,2,7,1.1667,RightArrow
92,83,3,7,0.55013,RightArrow
93,17,2,7,0.63333,LeftArrow
94,100,0,7,0.66671,RightArrow
95,33,7,7,0.90003,LeftArrow
96,17,7,7,0.54999,LeftArrow
97,100,3,7,0.73341,RightArrow
98,33,3,7,1.0001,RightArrow
99,17,1,7,0.68331,LeftArrow
100,33,5,7,1.8,LeftArrow
101,83,1,7,0.91672,RightArrow
102,50,2,7,1.5833,LeftArrow
103,33,0,7,0.64994,RightArrow
104,83,7,7,1.4501,RightArrow
105,17,3,7,1.3667,RightArrow
106,17,6,7,0.98338,RightArrow
107,0,6,7,2.8501,RightArrow
108,50,1,7,1.4167,RightArrow
109,0,3,7,1.75,LeftArrow
110,17,2,7,0.81668,RightArrow
111,0,1,7,0.68337,LeftArrow
112,100,6,7,1.2501,RightArrow
