ntrl,morph,pos,ecc,rt,response
1,17,2,7,1.0334,LeftArrow
2,100,6,7,0.78334,RightArrow
3,83,4,7,0.66665,RightArrow
4,0,0,7,2.2834,LeftArrow
5,100,7,7,1.45,RightArrow
6,0,2,7,0.80004,LeftArrow
7,67,5,7,1.0168,RightArrow
8,83,3,7,2.1667,RightArrow
9,0,7,7,0.91677,LeftArrow
10,33,2,7,1.4666,LeftArrow
11,17,4,7,1.5167,LeftArrow
12,67,3,7,0.84999,LeftArrow
13,50,5,7,0.75007,RightArrow
14,0,1,7,0.66672,LeftArrow
15,33,4,7,1.0167,RightArrow
16,0,4,7,0.76666,LeftArrow
17,17,5,7,0.58339,LeftArrow
18,33,3,7,0.85002,RightArrow
19,67,0,7,0.68329,RightArrow
20,100,3,7,0.60003,RightArrow
21,17,1,7,0.64999,LeftArrow
22,100,3,7,2.6668,RightArrow
23,50,0,7,0.98338,LeftArrow
24,17,5,7,0.75005,LeftArrow
25,33,5,7,0.76669,LeftArrow
26,33,3,7,0.66664,LeftArrow
27,0,3,7,0.50002,LeftArrow
28,17,7,7,0.86681,LeftArrow
29,83,0,7,0.48329,RightArrow
30,33,5,7,0.69998,RightArrow
31,83,6,7,0.58332,RightArrow
32,67,4,7,0.69997,RightArrow
33,0,2,7,1.2167,LeftArrow
34,67,2,7,0.74992,LeftArrow
35,50,2,7,0.76669,LeftArrow
36,67,6,7,2.1667,RightArrow
37,50,1,7,0.93332,RightArrow
38,83,7,7,0.70005,RightArrow
39,83,1,7,0.5333,RightArrow
40,17,0,7,0.73337,LeftArrow
41,0,5,7,0.88344,LeftArrow
42,17,2,7,0.66673,LeftArrow
43,67,1,7,0.66666,RightArrow
44,17,6,7,1.2167,LeftArrow
45,67,0,7,0.84998,LeftArrow
46,0,0,7,0.68336,LeftArrow
47,0,1,7,0.91669,RightArrow
48,100,2,7,0.75002,RightArrow
49,100,5,7,0.71667,RightArrow
50,50,5,7,3.2167,RightArrow
51,83,6,7,0.84996,RightArrow
52,83,2,7,1.6333,LeftArrow
53,100,1,7,0.78327,RightArrow
54,33,1,7,0.7667,LeftArrow
55,33,6,7,2.45,LeftArrow
56,100,5,7,0.66665,RightArrow
57,67,3,7,2.2167,LeftArrow
58,17,3,7,1.6667,LeftArrow
59,50,3,7,0.6667,LeftArrow
60,83,5,7,0.61666,RightArrow
61,17,0,7,1.3,LeftArrow
62,100,4,7,0.68335,RightArrow
63,50,3,7,0.8167,LeftArrow
64,67,1,7,1.9001,RightArrow
65,50,0,7,0.96661,RightArrow
66,83,2,7,0.69994,LeftArrow
67,67,7,7,0.75,LeftArrow
68,100,1,7,0.95003,RightArrow
69,50,7,7,0.73339,LeftArrow
70,0,6,7,0.75007,LeftArrow
71,100,7,7,0.5833,RightArrow
72,83,3,7,1.1,RightArrow
73,33,4,7,0.8667,LeftArrow
74,50,7,7,2.85,RightArrow
75,83,4,7,0.66678,RightArrow
76,100,0,7,0.53341,RightArrow
77,83,5,7,0.68335,RightArrow
78,17,7,7,0.58337,LeftArrow
79,0,6,7,2.8668,RightArrow
80,33,2,7,0.75001,RightArrow
81,33,0,7,1.15,LeftArrow
82,67,4,7,0.81665,RightArrow
83,17,4,7,0.86667,LeftArrow
84,67,6,7,1.15,LeftArrow
85,33,0,7,0.6,LeftArrow
86,50,6,7,1.2334,RightArrow
87,33,7,7,0.86665,LeftArrow
88,67,7,7,0.73335,RightArrow
89,17,3,7,0.8166,LeftArrow
90,100,2,7,1.0167,RightArrow
91,50,1,7,1.8,LeftArrow
92,50,2,7,1.5334,LeftArrow
93,0,4,7,0.66665,LeftArrow
94,67,2,7,0.89996,RightArrow
95,83,0,7,0.85005,RightArrow
96,0,3,7,0.91666,LeftArrow
97,17,6,7,0.81665,RightArrow
98,50,6,7,1.6167,LeftArrow
99,0,5,7,0.65002,LeftArrow
100,17,1,7,0.58333,RightArrow
101,100,0,7,0.85032,RightArrow
102,83,7,7,2.7,RightArrow
103,100,4,7,2.2001,RightArrow
104,0,7,7,0.71667,LeftArrow
105,100,6,7,1.85,RightArrow
106,33,7,7,1.1668,RightArrow
107,33,6,7,1.8667,LeftArrow
108,50,4,7,1.5,LeftArrow
109,33,1,7,1.2334,RightArrow
110,50,4,7,1.3834,LeftArrow
111,67,5,7,0.79999,LeftArrow
112,83,1,7,0.70003,RightArrow
