ntrl,morph,pos,ecc,rt,response
1,100,7,7,0.44999,RightArrow
2,0,3,7,0.56667,LeftArrow
3,50,0,7,0.50002,RightArrow
4,17,7,7,0.81668,RightArrow
5,0,6,7,0.91668,RightArrow
6,83,7,7,0.56666,RightArrow
7,33,0,7,0.78341,LeftArrow
8,50,6,7,0.70004,RightArrow
9,17,1,7,0.58333,RightArrow
10,50,2,7,0.78332,LeftArrow
11,100,5,7,0.6001,RightArrow
12,67,7,7,0.93336,RightArrow
13,33,5,7,0.66666,LeftArrow
14,67,0,7,0.54997,LeftArrow
15,67,0,7,0.53357,RightArrow
16,0,6,7,0.9334,LeftArrow
17,33,7,7,0.83329,LeftArrow
18,33,4,7,0.90006,LeftArrow
19,0,7,7,0.89999,LeftArrow
20,50,4,7,0.75001,LeftArrow
21,67,4,7,0.46671,LeftArrow
22,0,1,7,0.81664,LeftArrow
23,100,1,7,0.60006,RightArrow
24,83,1,7,0.59998,RightArrow
25,83,2,7,0.61695,RightArrow
26,83,4,7,0.53334,RightArrow
27,100,0,7,0.56666,RightArrow
28,0,1,7,0.89999,LeftArrow
29,83,7,7,0.58327,RightArrow
30,50,7,7,0.65002,RightArrow
31,17,0,7,0.69999,LeftArrow
32,67,1,7,0.95005,RightArrow
33,83,4,7,1.1667,RightArrow
34,83,5,7,0.71676,RightArrow
35,17,6,7,0.63338,LeftArrow
36,0,5,7,0.80002,LeftArrow
37,33,1,7,0.73334,LeftArrow
38,50,1,7,0.6334,LeftArrow
39,0,3,7,0.63338,LeftArrow
40,100,3,7,0.50005,LeftArrow
41,100,4,7,0.64994,RightArrow
42,50,5,7,0.8502,RightArrow
43,0,0,7,0.6,LeftArrow
44,67,3,7,0.80003,RightArrow
45,83,2,7,1.3666,LeftArrow
46,33,4,7,0.8166,LeftArrow
47,17,4,7,0.56665,LeftArrow
48,17,1,7,0.58332,LeftArrow
49,17,0,7,0.6667,LeftArrow
50,50,5,7,1.4,LeftArrow
51,0,4,7,0.60006,LeftArrow
52,67,5,7,0.6,LeftArrow
53,67,2,7,0.76667,LeftArrow
54,67,4,7,0.60003,RightArrow
55,50,6,7,0.66668,RightArrow
56,17,3,7,0.70002,LeftArrow
57,67,6,7,0.66661,RightArrow
58,0,2,7,0.75006,LeftArrow
59,67,6,7,1.3167,RightArrow
60,67,3,7,0.7,RightArrow
61,33,2,7,0.71667,LeftArrow
62,50,0,7,0.7,LeftArrow
63,33,1,7,0.58335,LeftArrow
64,17,2,7,0.6334,LeftArrow
65,50,1,7,0.71666,RightArrow
66,83,3,7,0.83337,RightArrow
67,100,4,7,0.53337,LeftArrow
68,83,0,7,0.55,RightArrow
69,0,2,7,0.81665,LeftArrow
70,17,2,7,1.1167,LeftArrow
71,50,3,7,0.63335,RightArrow
72,83,6,7,0.61669,RightArrow
73,83,0,7,0.54996,RightArrow
74,17,6,7,0.93335,LeftArrow
75,67,2,7,1.05,RightArrow
76,33,3,7,1.0167,RightArrow
77,33,0,7,0.55003,RightArrow
78,33,3,7,1.45,RightArrow
79,100,2,7,0.9833,RightArrow
80,50,3,7,0.73341,LeftArrow
81,83,5,7,0.7667,RightArrow
82,100,6,7,1.5167,RightArrow
83,83,3,7,0.51674,LeftArrow
84,83,6,7,0.71671,RightArrow
85,17,4,7,0.54998,LeftArrow
86,33,2,7,0.63338,LeftArrow
87,17,5,7,0.63338,LeftArrow
88,17,7,7,0.60006,LeftArrow
89,33,6,7,0.78338,RightArrow
90,100,2,7,0.51671,RightArrow
91,0,7,7,0.58337,LeftArrow
92,50,4,7,0.55006,LeftArrow
93,100,5,7,0.58335,RightArrow
94,0,0,7,0.76672,LeftArrow
95,33,5,7,0.61668,RightArrow
96,100,0,7,0.53333,RightArrow
97,100,3,7,0.55,RightArrow
98,67,1,7,0.51662,RightArrow
99,67,5,7,0.46672,RightArrow
100,100,7,7,0.51664,RightArrow
101,50,2,7,0.46669,RightArrow
102,100,6,7,0.5334,RightArrow
103,0,5,7,0.45001,LeftArrow
104,17,3,7,0.56666,LeftArrow
105,67,7,7,0.69998,RightArrow
106,0,4,7,0.65003,LeftArrow
107,83,1,7,0.71701,RightArrow
108,33,7,7,0.61675,RightArrow
109,50,7,7,0.4833,RightArrow
110,100,1,7,0.56664,RightArrow
111,17,5,7,1.3334,LeftArrow
112,33,6,7,0.75,RightArrow
