ntrl,morph,pos,ecc,rt,response
1,100,0,7,0.46664,LeftArrow
2,33,2,7,1.4168,RightArrow
3,50,2,7,0.66665,RightArrow
4,67,4,7,0.64998,RightArrow
5,50,5,7,0.55,RightArrow
6,67,7,7,0.68332,RightArrow
7,100,7,7,0.53349,RightArrow
8,17,0,7,1.1334,RightArrow
9,50,7,7,0.63343,RightArrow
10,67,0,7,0.55012,RightArrow
11,33,3,7,1,RightArrow
12,67,0,7,0.55001,RightArrow
13,83,4,7,0.48333,RightArrow
14,67,1,7,0.54997,RightArrow
15,67,2,7,0.36664,RightArrow
16,67,6,7,0.66676,RightArrow
17,33,7,7,0.53339,LeftArrow
18,33,1,7,0.66667,LeftArrow
19,67,3,7,0.80001,RightArrow
20,67,4,7,0.58335,RightArrow
21,50,7,7,0.51676,RightArrow
22,50,0,7,0.76681,LeftArrow
23,67,1,7,1.1333,RightArrow
24,100,5,7,0.48336,RightArrow
25,100,1,7,0.6333,RightArrow
26,33,7,7,0.80004,LeftArrow
27,17,1,7,0.98336,RightArrow
28,100,7,7,0.96662,RightArrow
29,0,6,7,0.70003,LeftArrow
30,100,0,7,0.46667,RightArrow
31,67,6,7,0.71684,RightArrow
32,50,5,7,0.93334,LeftArrow
33,17,4,7,0.60001,LeftArrow
34,50,4,7,0.55003,LeftArrow
35,17,0,7,0.65006,LeftArrow
36,0,3,7,0.8167,LeftArrow
37,0,5,7,0.58334,LeftArrow
38,50,1,7,1.0167,LeftArrow
39,100,4,7,0.66668,LeftArrow
40,0,1,7,0.61682,LeftArrow
41,17,6,7,1.55,RightArrow
42,83,3,7,0.63328,RightArrow
43,100,5,7,0.71665,RightArrow
44,33,5,7,0.73364,RightArrow
45,50,6,7,0.71682,RightArrow
46,83,5,7,0.73333,RightArrow
47,67,5,7,0.61668,RightArrow
48,67,3,7,0.8334,LeftArrow
49,0,0,7,0.76671,LeftArrow
50,83,1,7,0.53333,RightArrow
51,33,4,7,0.85005,LeftArrow
52,100,4,7,0.61681,RightArrow
53,50,6,7,0.86671,LeftArrow
54,83,2,7,0.69998,LeftArrow
55,67,7,7,0.76665,LeftArrow
56,50,0,7,0.65,LeftArrow
57,83,1,7,0.70003,RightArrow
58,100,2,7,0.65008,RightArrow
59,0,2,7,0.63335,RightArrow
60,33,1,7,0.91665,LeftArrow
61,17,7,7,1.0833,LeftArrow
62,83,4,7,0.68332,RightArrow
63,0,5,7,1.8667,RightArrow
64,33,6,7,0.68332,LeftArrow
65,100,2,7,0.61662,RightArrow
66,50,3,7,0.75003,RightArrow
67,17,1,7,0.43334,LeftArrow
68,50,1,7,0.68337,LeftArrow
69,67,5,7,0.56666,RightArrow
70,100,3,7,0.54998,RightArrow
71,17,2,7,0.68338,LeftArrow
72,0,7,7,0.56666,LeftArrow
73,17,5,7,0.63335,LeftArrow
74,67,2,7,1.5167,LeftArrow
75,83,0,7,0.48331,RightArrow
76,83,3,7,0.66672,RightArrow
77,17,3,7,0.93331,RightArrow
78,0,4,7,0.51666,LeftArrow
79,50,2,7,0.78336,LeftArrow
80,0,7,7,1.1167,LeftArrow
81,33,0,7,0.76665,LeftArrow
82,17,6,7,0.66671,LeftArrow
83,0,4,7,0.73333,LeftArrow
84,50,4,7,0.71663,LeftArrow
85,17,2,7,0.56668,LeftArrow
86,100,6,7,0.58332,RightArrow
87,0,6,7,0.83336,LeftArrow
88,83,5,7,0.56669,RightArrow
89,0,0,7,0.61665,LeftArrow
90,50,3,7,0.63331,LeftArrow
91,17,7,7,0.75005,LeftArrow
92,33,6,7,0.76666,RightArrow
93,0,3,7,0.63337,LeftArrow
94,83,0,7,0.93332,RightArrow
95,83,6,7,0.78333,RightArrow
96,33,2,7,0.66672,RightArrow
97,33,4,7,0.53334,LeftArrow
98,100,1,7,0.56664,RightArrow
99,83,7,7,0.78332,RightArrow
100,83,6,7,0.66691,RightArrow
101,33,5,7,0.59996,LeftArrow
102,0,2,7,1.1334,LeftArrow
103,17,4,7,0.48338,LeftArrow
104,0,1,7,0.55004,LeftArrow
105,33,0,7,0.5333,LeftArrow
106,83,2,7,0.6,RightArrow
107,100,6,7,0.53343,RightArrow
108,17,3,7,0.63336,LeftArrow
109,17,5,7,0.65002,LeftArrow
110,83,7,7,0.59997,RightArrow
111,33,3,7,0.59999,LeftArrow
112,100,3,7,0.63336,RightArrow
