ntrl,morph,pos,ecc,rt,response
1,100,4,7,0.45003,RightArrow
2,17,5,7,0.70001,LeftArrow
3,33,3,7,0.7167,LeftArrow
4,0,0,7,0.93339,LeftArrow
5,67,4,7,0.43337,RightArrow
6,33,6,7,0.58332,RightArrow
7,33,4,7,0.56667,LeftArrow
8,83,4,7,0.46666,RightArrow
9,33,7,7,0.7333,RightArrow
10,67,6,7,0.56678,RightArrow
11,33,0,7,0.75011,LeftArrow
12,50,1,7,0.63335,RightArrow
13,83,0,7,0.48332,RightArrow
14,100,7,7,0.50003,RightArrow
15,83,6,7,0.51665,RightArrow
16,0,3,7,0.56675,LeftArrow
17,17,3,7,0.51667,LeftArrow
18,67,7,7,0.75004,RightArrow
19,83,4,7,0.56671,LeftArrow
20,50,5,7,0.7667,LeftArrow
21,100,6,7,0.7167,RightArrow
22,17,7,7,0.61665,LeftArrow
23,83,0,7,0.43346,RightArrow
24,17,2,7,0.56662,LeftArrow
25,100,7,7,0.51672,RightArrow
26,17,2,7,0.61673,LeftArrow
27,50,5,7,0.53339,RightArrow
28,50,0,7,0.5333,RightArrow
29,17,3,7,0.48335,LeftArrow
30,0,4,7,0.61668,LeftArrow
31,83,1,7,0.54997,RightArrow
32,0,7,7,0.46668,LeftArrow
33,33,1,7,0.63336,LeftArrow
34,100,2,7,0.63334,RightArrow
35,17,4,7,0.5333,LeftArrow
36,17,5,7,0.56662,LeftArrow
37,100,5,7,0.5167,RightArrow
38,83,2,7,0.45001,LeftArrow
39,67,2,7,0.63336,RightArrow
40,83,1,7,1.1001,RightArrow
41,67,1,7,0.71666,LeftArrow
42,83,5,7,0.71667,RightArrow
43,0,5,7,0.66677,LeftArrow
44,83,7,7,0.5833,RightArrow
45,17,6,7,0.66665,LeftArrow
46,100,3,7,0.61696,RightArrow
47,67,4,7,0.70007,LeftArrow
48,0,2,7,0.68333,LeftArrow
49,67,3,7,0.6167,RightArrow
50,50,1,7,0.98335,RightArrow
51,33,3,7,0.78333,RightArrow
52,0,3,7,0.63331,LeftArrow
53,33,6,7,1.3,RightArrow
54,50,6,7,0.51672,RightArrow
55,17,6,7,0.65,RightArrow
56,100,0,7,0.50008,RightArrow
57,0,2,7,0.76671,LeftArrow
58,33,2,7,0.80001,LeftArrow
59,17,7,7,0.64994,LeftArrow
60,50,7,7,0.4833,LeftArrow
61,50,4,7,0.78339,LeftArrow
62,50,0,7,0.55002,RightArrow
63,83,6,7,0.60001,RightArrow
64,50,3,7,0.48334,RightArrow
65,17,1,7,1.0333,LeftArrow
66,33,7,7,0.75001,LeftArrow
67,0,6,7,0.68332,LeftArrow
68,17,0,7,0.91666,LeftArrow
69,0,5,7,0.66664,LeftArrow
70,0,6,7,0.88337,LeftArrow
71,50,7,7,0.61673,LeftArrow
72,100,1,7,0.55003,RightArrow
73,67,1,7,0.45004,RightArrow
74,83,7,7,0.51668,RightArrow
75,100,0,7,0.48332,RightArrow
76,50,6,7,0.93336,RightArrow
77,67,0,7,0.49997,RightArrow
78,83,3,7,0.5333,RightArrow
79,33,5,7,0.60003,RightArrow
80,100,6,7,0.56672,RightArrow
81,17,1,7,0.69998,LeftArrow
82,33,1,7,0.53338,LeftArrow
83,100,2,7,0.71663,RightArrow
84,83,5,7,0.56667,RightArrow
85,50,4,7,0.53332,RightArrow
86,33,5,7,0.60006,RightArrow
87,0,1,7,1.4666,LeftArrow
88,100,1,7,0.64998,RightArrow
89,67,7,7,0.74997,RightArrow
90,67,2,7,0.6,RightArrow
91,33,2,7,0.93342,RightArrow
92,83,3,7,0.59996,RightArrow
93,17,0,7,0.63334,LeftArrow
94,50,3,7,0.5167,RightArrow
95,50,2,7,0.46672,RightArrow
96,67,5,7,0.53338,RightArrow
97,83,2,7,0.58336,RightArrow
98,0,7,7,0.75003,LeftArrow
99,67,5,7,0.76664,LeftArrow
100,17,4,7,0.66669,LeftArrow
101,100,4,7,0.53333,RightArrow
102,100,3,7,0.5167,RightArrow
103,0,4,7,0.46667,LeftArrow
104,0,0,7,1.3167,LeftArrow
105,67,6,7,0.83331,RightArrow
106,33,4,7,0.54998,LeftArrow
107,50,2,7,1.5334,RightArrow
108,67,0,7,0.53334,RightArrow
109,33,0,7,0.6334,RightArrow
110,0,1,7,0.75006,LeftArrow
111,100,5,7,0.58326,RightArrow
112,67,3,7,0.68337,LeftArrow
