ntrl,morph,pos,ecc,rt,response
1,0,3,7,0.61671,LeftArrow
2,100,3,7,0.53334,RightArrow
3,17,3,7,0.58333,LeftArrow
4,83,0,7,0.49997,LeftArrow
5,17,7,7,0.6,LeftArrow
6,50,2,7,0.78334,LeftArrow
7,50,3,7,0.58337,RightArrow
8,17,5,7,0.75004,LeftArrow
9,17,6,7,0.66671,LeftArrow
10,0,1,7,0.56662,RightArrow
11,67,7,7,1.1167,LeftArrow
12,50,1,7,0.98332,LeftArrow
13,67,5,7,0.5335,RightArrow
14,17,7,7,0.81669,RightArrow
15,17,4,7,0.65,LeftArrow
16,50,0,7,0.70003,LeftArrow
17,33,2,7,0.64996,LeftArrow
18,50,0,7,0.81664,LeftArrow
19,100,7,7,0.61664,RightArrow
20,67,4,7,0.50003,RightArrow
21,17,4,7,0.88334,LeftArrow
22,67,6,7,0.68339,RightArrow
23,83,2,7,0.63332,RightArrow
24,33,4,7,0.86673,RightArrow
25,100,2,7,0.56664,LeftArrow
26,67,7,7,1.9504,RightArrow
27,100,7,7,0.5333,RightArrow
28,33,6,7,0.76667,RightArrow
29,100,6,7,0.54999,RightArrow
30,50,1,7,0.81668,RightArrow
31,0,0,7,0.63335,LeftArrow
32,17,0,7,0.5833,LeftArrow
33,100,4,7,0.53331,RightArrow
34,33,0,7,0.61679,LeftArrow
35,67,4,7,0.71665,RightArrow
36,83,5,7,0.78339,RightArrow
37,83,5,7,0.5667,RightArrow
38,33,2,7,0.95002,LeftArrow
39,0,1,7,0.58335,LeftArrow
40,67,0,7,0.51667,RightArrow
41,83,7,7,0.93332,RightArrow
42,33,0,7,0.81668,RightArrow
43,83,7,7,0.61669,RightArrow
44,100,5,7,0.66668,RightArrow
45,0,5,7,0.61665,RightArrow
46,50,6,7,0.63331,RightArrow
47,100,2,7,0.55002,RightArrow
48,83,3,7,0.56667,RightArrow
49,33,1,7,1.15,RightArrow
50,83,1,7,0.64999,RightArrow
51,83,2,7,0.56662,RightArrow
52,0,6,7,0.70005,RightArrow
53,0,4,7,0.53334,LeftArrow
54,17,2,7,0.65002,LeftArrow
55,17,6,7,0.63339,RightArrow
56,0,4,7,0.63325,LeftArrow
57,50,7,7,0.58335,RightArrow
58,67,3,7,0.56668,RightArrow
59,17,2,7,0.75003,LeftArrow
60,50,4,7,0.68331,LeftArrow
61,50,5,7,0.58335,LeftArrow
62,100,5,7,0.55003,RightArrow
63,17,0,7,0.66668,LeftArrow
64,0,6,7,0.53346,RightArrow
65,50,5,7,0.71667,LeftArrow
66,50,3,7,0.55,LeftArrow
67,100,4,7,0.68342,RightArrow
68,67,6,7,0.60005,LeftArrow
69,0,0,7,0.68334,LeftArrow
70,83,0,7,0.60013,RightArrow
71,33,1,7,0.85004,RightArrow
72,100,3,7,0.59995,RightArrow
73,33,4,7,0.96666,LeftArrow
74,67,2,7,1.7833,RightArrow
75,0,5,7,0.64999,LeftArrow
76,50,7,7,0.83335,RightArrow
77,0,3,7,0.81671,LeftArrow
78,0,7,7,0.6834,LeftArrow
79,67,0,7,0.53331,RightArrow
80,83,3,7,0.66668,RightArrow
81,83,6,7,0.59997,RightArrow
82,67,1,7,0.60003,RightArrow
83,67,1,7,0.6,RightArrow
84,50,4,7,1.0167,RightArrow
85,100,0,7,0.61665,RightArrow
86,83,4,7,0.5833,RightArrow
87,50,2,7,1.2834,LeftArrow
88,100,1,7,1.0333,LeftArrow
89,67,5,7,1.25,RightArrow
90,17,1,7,1.2168,RightArrow
91,17,5,7,0.48333,RightArrow
92,83,6,7,0.9834,RightArrow
93,33,3,7,0.78331,LeftArrow
94,67,2,7,0.86673,RightArrow
95,83,1,7,1.2334,RightArrow
96,33,3,7,1,LeftArrow
97,33,7,7,0.66664,LeftArrow
98,0,7,7,0.58334,LeftArrow
99,83,4,7,0.44997,RightArrow
100,33,5,7,0.65001,LeftArrow
101,17,1,7,0.76668,LeftArrow
102,100,1,7,0.66664,RightArrow
103,100,0,7,0.86667,RightArrow
104,50,6,7,1.1167,RightArrow
105,100,6,7,1.1833,RightArrow
106,0,2,7,0.60005,LeftArrow
107,33,5,7,0.71668,LeftArrow
108,33,6,7,0.65004,LeftArrow
109,0,2,7,0.71665,LeftArrow
110,67,3,7,0.63309,RightArrow
111,33,7,7,0.78334,LeftArrow
112,17,3,7,0.68334,LeftArrow
