ntrl,morph,pos,ecc,rt,response
1,17,2,7,1.2001,RightArrow
2,0,5,7,0.73339,LeftArrow
3,0,6,7,0.71664,RightArrow
4,67,7,7,0.83337,LeftArrow
5,0,1,7,0.61671,LeftArrow
6,67,1,7,0.91673,LeftArrow
7,0,6,7,0.86677,LeftArrow
8,33,5,7,0.48336,LeftArrow
9,17,6,7,0.81667,LeftArrow
10,100,4,7,0.46664,RightArrow
11,17,0,7,0.71668,LeftArrow
12,83,7,7,0.70013,LeftArrow
13,67,3,7,1.3167,RightArrow
14,100,5,7,0.81674,RightArrow
15,33,7,7,1.0001,LeftArrow
16,50,3,7,0.80003,RightArrow
17,33,6,7,1.0667,RightArrow
18,0,2,7,0.91666,LeftArrow
19,0,7,7,0.51679,LeftArrow
20,100,1,7,0.66673,RightArrow
21,33,4,7,0.61669,LeftArrow
22,33,1,7,0.81673,LeftArrow
23,67,4,7,1.0333,RightArrow
24,100,7,7,0.91668,LeftArrow
25,17,7,7,1.0833,LeftArrow
26,83,7,7,0.6333,RightArrow
27,83,2,7,0.61667,RightArrow
28,100,0,7,0.58335,RightArrow
29,100,2,7,0.76667,RightArrow
30,0,0,7,0.94997,RightArrow
31,83,5,7,0.58333,LeftArrow
32,0,2,7,1.1334,LeftArrow
33,67,2,7,0.93335,RightArrow
34,67,5,7,0.55001,RightArrow
35,100,2,7,0.88344,RightArrow
36,33,0,7,0.61669,RightArrow
37,33,5,7,0.83335,LeftArrow
38,17,5,7,0.61668,LeftArrow
39,83,3,7,0.75005,RightArrow
40,50,3,7,0.53338,RightArrow
41,100,4,7,0.7667,RightArrow
42,83,4,7,0.43336,RightArrow
43,67,4,7,0.43332,RightArrow
44,50,6,7,0.96661,RightArrow
45,0,3,7,0.68329,LeftArrow
46,33,2,7,0.56668,LeftArrow
47,83,6,7,0.66665,RightArrow
48,67,1,7,0.58337,LeftArrow
49,100,1,7,0.80004,RightArrow
50,17,7,7,0.60001,LeftArrow
51,67,0,7,0.56671,RightArrow
52,100,3,7,0.71674,RightArrow
53,67,6,7,1.8168,LeftArrow
54,100,6,7,0.73336,RightArrow
55,33,2,7,0.61673,RightArrow
56,100,3,7,1.15,RightArrow
57,50,1,7,0.63335,LeftArrow
58,0,7,7,0.83333,LeftArrow
59,50,2,7,0.71667,RightArrow
60,17,3,7,0.73339,RightArrow
61,83,4,7,0.51682,RightArrow
62,50,0,7,0.68334,LeftArrow
63,83,3,7,0.63333,RightArrow
64,83,2,7,1.0667,LeftArrow
65,50,4,7,0.65001,RightArrow
66,50,5,7,0.58348,RightArrow
67,50,7,7,0.81668,RightArrow
68,67,3,7,0.56674,RightArrow
69,0,4,7,0.55002,LeftArrow
70,17,4,7,0.5834,LeftArrow
71,50,2,7,0.64997,LeftArrow
72,67,7,7,0.73339,RightArrow
73,0,0,7,0.76669,LeftArrow
74,50,1,7,0.66667,RightArrow
75,83,1,7,0.69999,RightArrow
76,50,5,7,0.66669,LeftArrow
77,83,0,7,0.58334,RightArrow
78,33,3,7,1.2501,LeftArrow
79,67,0,7,0.61672,RightArrow
80,17,2,7,0.60001,LeftArrow
81,17,0,7,0.91666,LeftArrow
82,33,0,7,0.61671,LeftArrow
83,17,1,7,0.60006,LeftArrow
84,17,6,7,0.84998,LeftArrow
85,17,3,7,0.96672,LeftArrow
86,33,7,7,0.70003,LeftArrow
87,33,4,7,0.56673,LeftArrow
88,100,0,7,0.48339,RightArrow
89,50,7,7,1.05,RightArrow
90,33,1,7,1.5,LeftArrow
91,67,2,7,0.68349,LeftArrow
92,17,4,7,0.58329,LeftArrow
93,50,6,7,0.78333,LeftArrow
94,0,4,7,0.64998,LeftArrow
95,0,3,7,0.6334,LeftArrow
96,83,6,7,0.6,RightArrow
97,50,4,7,0.93336,RightArrow
98,17,5,7,0.66663,RightArrow
99,50,0,7,0.55005,RightArrow
100,67,6,7,1.0833,RightArrow
101,83,5,7,0.76668,RightArrow
102,83,0,7,0.45002,RightArrow
103,33,3,7,0.8002,LeftArrow
104,0,1,7,0.78342,LeftArrow
105,100,5,7,0.51668,RightArrow
106,33,6,7,0.76665,LeftArrow
107,67,5,7,0.61664,RightArrow
108,100,6,7,0.66665,RightArrow
109,83,1,7,0.54998,RightArrow
110,100,7,7,0.55001,RightArrow
111,17,1,7,0.74998,LeftArrow
112,0,5,7,0.75001,LeftArrow
