ntrl,morph,pos,ecc,rt,response
1,83,2,7,1.5161,RightArrow
2,50,7,7,0.88336,LeftArrow
3,67,7,7,1.7,LeftArrow
4,33,5,7,0.93337,LeftArrow
5,67,1,7,1.15,RightArrow
6,67,3,7,1.0334,LeftArrow
7,67,2,7,0.91667,LeftArrow
8,100,7,7,1.2001,RightArrow
9,67,2,7,0.79999,LeftArrow
10,0,5,7,1.0834,LeftArrow
11,100,6,7,1.15,RightArrow
12,0,2,7,1.1667,LeftArrow
13,67,7,7,0.81667,LeftArrow
14,17,3,7,0.78331,LeftArrow
15,17,7,7,0.68331,LeftArrow
16,17,4,7,1.0167,LeftArrow
17,17,2,7,0.76664,LeftArrow
18,83,4,7,0.81672,LeftArrow
19,100,5,7,0.75,LeftArrow
20,100,0,7,0.66667,RightArrow
21,50,5,7,0.91663,LeftArrow
22,83,4,7,1.65,LeftArrow
23,33,4,7,1.8167,LeftArrow
24,0,3,7,1.3,LeftArrow
25,33,1,7,0.86668,LeftArrow
26,33,5,7,1.1834,LeftArrow
27,17,7,7,0.90002,LeftArrow
28,0,5,7,0.75045,LeftArrow
29,17,5,7,0.59999,LeftArrow
30,100,2,7,0.54995,RightArrow
31,100,2,7,0.61665,RightArrow
32,67,0,7,0.99998,RightArrow
33,0,6,7,0.9666,LeftArrow
34,50,5,7,0.81683,LeftArrow
35,83,6,7,0.8173,RightArrow
36,67,5,7,0.94999,LeftArrow
37,83,3,7,0.6833,LeftArrow
38,0,1,7,0.9002,LeftArrow
39,33,3,7,0.65,LeftArrow
40,50,0,7,0.64999,RightArrow
41,67,0,7,0.58338,RightArrow
42,83,1,7,0.75003,RightArrow
43,50,3,7,0.91667,RightArrow
44,33,0,7,0.71674,RightArrow
45,83,0,7,0.51668,RightArrow
46,83,6,7,1.1,RightArrow
47,100,6,7,0.88334,RightArrow
48,83,1,7,0.73331,RightArrow
49,33,7,7,0.7,LeftArrow
50,17,5,7,0.78333,LeftArrow
51,83,5,7,0.86671,LeftArrow
52,100,7,7,0.68328,RightArrow
53,0,6,7,0.71665,RightArrow
54,83,7,7,0.66673,RightArrow
55,67,4,7,1.2167,RightArrow
56,0,7,7,0.88337,LeftArrow
57,17,2,7,1.05,LeftArrow
58,50,3,7,0.78344,LeftArrow
59,67,1,7,0.81663,LeftArrow
60,83,0,7,0.90009,RightArrow
61,50,2,7,0.51667,RightArrow
62,0,2,7,0.56665,RightArrow
63,100,1,7,1.0166,LeftArrow
64,33,6,7,0.85001,RightArrow
65,0,4,7,0.61667,LeftArrow
66,83,7,7,0.85006,RightArrow
67,100,3,7,0.81678,LeftArrow
68,100,4,7,0.71672,RightArrow
69,50,4,7,1.1834,LeftArrow
70,33,4,7,0.84998,LeftArrow
71,50,0,7,0.66672,RightArrow
72,100,3,7,1,RightArrow
73,100,4,7,0.71667,RightArrow
74,67,4,7,0.66669,RightArrow
75,0,7,7,0.73334,LeftArrow
76,50,6,7,1,LeftArrow
77,100,0,7,0.55001,RightArrow
78,50,2,7,0.98335,RightArrow
79,100,5,7,0.95006,RightArrow
80,0,4,7,0.60001,LeftArrow
81,50,7,7,0.75007,LeftArrow
82,100,1,7,0.84998,RightArrow
83,50,6,7,0.7667,LeftArrow
84,50,1,7,0.64999,RightArrow
85,83,2,7,0.73333,LeftArrow
86,67,5,7,0.71672,LeftArrow
87,33,2,7,0.73334,RightArrow
88,83,5,7,0.74999,RightArrow
89,83,3,7,0.71667,RightArrow
90,17,6,7,0.85001,RightArrow
91,33,0,7,0.70006,RightArrow
92,0,0,7,0.95002,LeftArrow
93,67,3,7,0.7334,RightArrow
94,50,1,7,0.93336,LeftArrow
95,17,6,7,0.78337,RightArrow
96,33,6,7,0.65017,RightArrow
97,17,0,7,0.66668,LeftArrow
98,0,1,7,0.68335,LeftArrow
99,0,3,7,0.91669,LeftArrow
100,33,1,7,0.76665,LeftArrow
101,50,4,7,0.65005,LeftArrow
102,33,2,7,0.66667,LeftArrow
103,33,7,7,0.65002,LeftArrow
104,67,6,7,0.76672,RightArrow
105,67,6,7,0.63335,RightArrow
106,17,4,7,0.6667,LeftArrow
107,17,0,7,0.50001,LeftArrow
108,17,1,7,0.70006,LeftArrow
109,33,3,7,0.53331,LeftArrow
110,0,0,7,0.71662,LeftArrow
111,17,1,7,0.88338,LeftArrow
112,17,3,7,0.74996,LeftArrow
